chrom,start,end,dose,strength_tier,young,middle,old
chr10,115664713,115665093,100pM,strong,0,0,0
chr10,121510262,121510487,100pM,strong,0,0,0
chr10,123721905,123722250,100pM,strong,0,0,0
chr10,123744020,123744260,100pM,strong,0,0,0
chr10,125624792,125625160,100pM,strong,0,0,0
chr10,125625906,125626177,100pM,strong,0,0,0
chr10,125634231,125634511,100pM,strong,0,0,0
chr10,125695064,125695314,100pM,strong,0,0,0
chr10,126918328,126918849,100pM,strong,0,0,0
chr10,128541274,128541546,100pM,strong,0,0,0
chr11,1796405,1796932,100pM,strong,0,0,0
chr11,2190910,2191096,100pM,strong,0,0,0
chr11,2193280,2193665,100pM,strong,0,0,0
chr11,15615482,15615792,100pM,strong,0,0,0
chr11,34633689,34633917,100pM,strong,0,0,0
chr11,35389964,35390174,100pM,strong,0,0,0
chr11,65418713,65418943,100pM,strong,0,0,0
chr11,67027754,67028160,100pM,strong,0,0,0
chr11,68216588,68216825,100pM,strong,0,0,0
chr11,68819494,68819890,100pM,strong,0,0,0
chr11,69515314,69515615,100pM,strong,0,0,0
chr11,69891444,69892160,100pM,strong,0,0,0
chr11,69893095,69893358,100pM,strong,0,0,0
chr11,69894488,69894742,100pM,strong,0,0,0
chr11,69914755,69914963,100pM,strong,0,0,0
chr11,70760322,70760616,100pM,strong,0,0,0
chr11,70805869,70806178,100pM,strong,0,0,0
chr11,71481422,71481755,100pM,strong,0,0,0
chr11,72786429,72786789,100pM,strong,0,0,1
chr11,73192419,73192619,100pM,strong,0,0,0
chr11,73193918,73194209,100pM,strong,0,0,0
chr11,73194587,73194905,100pM,strong,0,0,0
chr11,73227825,73228428,100pM,strong,0,0,0
chr11,76772557,76772997,100pM,strong,0,0,0
chr11,78156088,78156725,100pM,strong,0,0,0
chr11,78259878,78260478,100pM,strong,0,1,0
chr11,78268284,78268550,100pM,strong,0,0,0
chr11,79059848,79060546,100pM,strong,0,0,0
chr11,83004146,83004578,100pM,strong,0,0,0
chr11,86499741,86500126,100pM,strong,0,0,0
chr11,86671304,86671913,100pM,strong,0,0,0
chr11,101034100,101034421,100pM,strong,0,0,0
chr11,101299190,101299893,100pM,strong,0,0,0
chr11,101441743,101442115,100pM,strong,0,0,0
chr11,111334633,111334944,100pM,strong,0,0,0
chr11,117183834,117184187,100pM,strong,0,0,0
chr11,118057852,118058270,100pM,strong,0,0,0
chr11,123096438,123096743,100pM,strong,0,1,0
chr11,129696026,129696247,100pM,strong,0,0,0
chr11,131692176,131692599,100pM,strong,0,0,0
chr11,131696695,131697243,100pM,strong,0,0,0
chr11,131700360,131700715,100pM,strong,0,0,0
chr11,131897303,131897609,100pM,strong,0,0,0
chr11,133215578,133215790,100pM,strong,0,0,0
chr11,134640089,134640353,100pM,strong,0,0,0
chr12,1767895,1768294,100pM,strong,0,0,0
chr12,1932246,1932521,100pM,strong,0,0,0
chr12,2795935,2796195,100pM,strong,0,0,0
chr12,6237573,6237869,100pM,strong,0,0,0
chr12,6264808,6265053,100pM,strong,0,0,0
chr12,6363947,6364213,100pM,strong,0,0,0
chr12,13050125,13050514,100pM,strong,0,0,0
chr12,15216498,15216827,100pM,strong,0,0,0
chr12,23225814,23226285,100pM,strong,0,0,0
chr12,26101411,26101783,100pM,strong,0,0,0
chr12,46201483,46201892,100pM,strong,0,0,0
chr12,46209311,46209501,100pM,strong,0,0,0
chr12,48021986,48022245,100pM,strong,0,0,0
chr12,49187999,49188205,100pM,strong,0,0,0
chr12,52148734,52149197,100pM,strong,0,0,0
chr12,52344874,52345113,100pM,strong,0,0,0
chr12,52895235,52895499,100pM,strong,0,0,0
chr12,52969960,52970260,100pM,strong,0,0,0
chr12,52971925,52972379,100pM,strong,0,1,0
chr12,53978026,53978223,100pM,strong,0,0,0
chr12,53983344,53983634,100pM,strong,0,0,0
chr12,53990333,53990624,100pM,strong,0,0,0
chr12,57088680,57088882,100pM,strong,0,0,0
chr12,64019010,64019552,100pM,strong,0,0,0
chr12,64081278,64081546,100pM,strong,0,0,0
chr12,64611098,64611331,100pM,strong,0,0,0
chr12,69440144,69440469,100pM,strong,0,0,0
chr12,74871725,74872207,100pM,strong,0,0,0
chr12,74873193,74873468,100pM,strong,0,0,0
chr12,75706168,75706727,100pM,strong,0,0,0
chr12,79022855,79023210,100pM,strong,0,0,0
chr12,89464959,89465290,100pM,strong,0,0,0
chr12,97500583,97500916,100pM,strong,0,0,0
chr12,97568691,97569064,100pM,strong,0,0,0
chr12,100952462,100952977,100pM,strong,0,0,0
chr12,101697296,101697838,100pM,strong,0,0,0
chr12,101698601,101698835,100pM,strong,0,0,0
chr12,106277108,106277305,100pM,strong,0,0,0
chr12,106279273,106279661,100pM,strong,0,0,0
chr12,115870234,115870527,100pM,strong,0,0,0
chr12,115872150,115872511,100pM,strong,0,0,0
chr12,116385882,116386145,100pM,strong,0,0,0
chr12,116390368,116390881,100pM,strong,0,0,0
chr12,116495348,116495589,100pM,strong,0,0,0
chr12,124393079,124393272,100pM,strong,0,0,0
chr12,124742134,124742342,100pM,strong,0,0,0
chr12,131860844,131861118,100pM,strong,0,0,0
chr13,22979086,22979375,100pM,strong,0,0,0
chr13,25659175,25659565,100pM,strong,0,0,0
chr13,29918804,29919083,100pM,strong,0,0,0
chr13,30833011,30833368,100pM,strong,0,0,0
chr13,32068354,32068549,100pM,strong,0,0,0
chr13,33345668,33345980,100pM,strong,0,0,0
chr13,33642694,33643074,100pM,strong,0,0,0
chr13,33648855,33649126,100pM,strong,0,1,0
chr13,38684448,38685179,100pM,strong,0,0,0
chr13,40993831,40994152,100pM,strong,0,0,0
chr13,41017129,41017488,100pM,strong,0,0,0
chr13,46120288,46120628,100pM,strong,0,0,0
chr13,46143262,46143472,100pM,strong,0,0,0
chr13,112968801,112969123,100pM,strong,0,0,0
chr14,33781403,33781727,100pM,strong,0,0,0
chr14,36656290,36656506,100pM,strong,0,0,0
chr14,36856192,36856452,100pM,strong,0,0,0
chr14,45891482,45891734,100pM,strong,0,0,0
chr14,45892610,45892875,100pM,strong,0,0,0
chr14,61485237,61485480,100pM,strong,0,0,0
chr14,61559294,61559589,100pM,strong,0,0,1
chr14,63547828,63548081,100pM,strong,0,1,0
chr14,64234982,64235320,100pM,strong,0,0,0
chr14,65118104,65118823,100pM,strong,0,0,0
chr14,67480090,67480375,100pM,strong,0,0,0
chr14,67533755,67533989,100pM,strong,0,0,0
chr14,68255897,68256159,100pM,strong,0,0,0
chr14,68306732,68307268,100pM,strong,0,0,0
chr14,68393554,68393840,100pM,strong,0,0,0
chr14,68458229,68458512,100pM,strong,0,0,1
chr14,68459000,68459401,100pM,strong,0,0,0
chr14,68570025,68570428,100pM,strong,0,0,0
chr14,73602194,73602423,100pM,strong,0,1,0
chr14,73784782,73785039,100pM,strong,0,0,0
chr14,74308807,74309017,100pM,strong,0,1,0
chr14,75260047,75260454,100pM,strong,0,0,0
chr14,75521342,75521755,100pM,strong,0,0,0
chr14,75535855,75536320,100pM,strong,0,0,0
chr14,77099699,77099984,100pM,strong,0,0,0
chr14,77400219,77400634,100pM,strong,0,0,0
chr14,90512296,90512638,100pM,strong,0,0,0
chr14,91276446,91276726,100pM,strong,0,0,0
chr14,91326020,91326352,100pM,strong,0,1,0
chr14,91393085,91393374,100pM,strong,0,0,0
chr14,91394314,91394594,100pM,strong,0,0,0
chr14,91418102,91418453,100pM,strong,0,0,0
chr14,93011691,93011948,100pM,strong,0,0,0
chr14,93017371,93017749,100pM,strong,0,0,0
chr14,94390721,94391004,100pM,strong,0,0,0
chr14,95056464,95057065,100pM,strong,0,0,0
chr14,96574932,96575160,100pM,strong,0,0,0
chr14,98903527,98903807,100pM,strong,0,0,0
chr14,99207592,99207818,100pM,strong,0,0,0
chr14,103693503,103693766,100pM,strong,0,0,0
chr14,105032374,105032598,100pM,strong,0,0,0
chr14,105559407,105559667,100pM,strong,0,0,0
chr15,33067881,33068279,100pM,strong,0,0,0
chr15,39668492,39668835,100pM,strong,0,0,0
chr15,50181504,50181706,100pM,strong,0,0,0
chr15,57591655,57591874,100pM,strong,0,0,0
chr15,63387803,63388082,100pM,strong,0,0,0
chr15,65286212,65286435,100pM,strong,0,0,0
chr15,69482758,69483022,100pM,strong,0,0,0
chr15,70321135,70321596,100pM,strong,0,0,0
chr15,70378089,70378445,100pM,strong,0,0,0
chr15,70462957,70463342,100pM,strong,0,0,0
chr15,71079147,71079399,100pM,strong,0,0,0
chr15,71096656,71097127,100pM,strong,0,0,0
chr15,71104718,71105063,100pM,strong,0,0,0
chr15,71975454,71975654,100pM,strong,0,0,0
chr15,74817223,74817750,100pM,strong,0,1,0
chr15,80679478,80679709,100pM,strong,0,0,0
chr15,81092034,81092375,100pM,strong,0,0,0
chr15,82952222,82952420,100pM,strong,0,0,0
chr15,89115589,89115819,100pM,strong,0,0,0
chr15,92639225,92639469,100pM,strong,0,0,0
chr15,92645551,92645893,100pM,strong,0,0,0
chr15,95895616,95895914,100pM,strong,0,0,0
chr15,95911551,95911958,100pM,strong,0,0,0
chr15,96339447,96339633,100pM,strong,0,0,0
chr15,100517163,100517480,100pM,strong,0,0,0
chr16,450621,450824,100pM,strong,0,0,0
chr16,451683,451884,100pM,strong,0,1,0
chr16,1287678,1288355,100pM,strong,0,0,0
chr16,1296979,1297245,100pM,strong,0,0,0
chr16,1378902,1379165,100pM,strong,0,0,0
chr16,3166515,3166962,100pM,strong,0,0,0
chr16,4113447,4113715,100pM,strong,0,0,0
chr16,4142523,4142776,100pM,strong,0,1,0
chr16,4152178,4152672,100pM,strong,0,0,0
chr16,4369049,4369397,100pM,strong,0,0,0
chr16,8679307,8679515,100pM,strong,0,0,0
chr16,9047716,9047951,100pM,strong,0,0,0
chr16,16973807,16974581,100pM,strong,0,0,0
chr16,17315755,17315974,100pM,strong,0,0,0
chr16,19987799,19988033,100pM,strong,0,0,0
chr16,20014159,20014401,100pM,strong,0,0,0
chr16,21512619,21512838,100pM,strong,0,0,0
chr16,23079696,23080004,100pM,strong,0,0,0
chr16,23148587,23148870,100pM,strong,0,0,0
chr16,25040399,25040859,100pM,strong,0,0,0
chr16,25119635,25119853,100pM,strong,0,0,0
chr16,27898014,27898289,100pM,strong,0,0,0
chr16,29310769,29311213,100pM,strong,0,0,0
chr16,53045499,53045796,100pM,strong,0,0,0
chr16,53099392,53099787,100pM,strong,0,0,0
chr16,53775587,53775855,100pM,strong,0,0,0
chr16,54094773,54094959,100pM,strong,0,0,0
chr16,54424171,54424407,100pM,strong,0,0,0
chr16,54425702,54426002,100pM,strong,0,0,0
chr16,56370795,56371238,100pM,strong,0,0,0
chr16,57622778,57623025,100pM,strong,0,0,0
chr16,66278150,66278345,100pM,strong,0,0,0
chr16,68745702,68745970,100pM,strong,0,1,0
chr16,79171841,79172164,100pM,strong,0,0,0
chr16,82138527,82138752,100pM,strong,0,0,0
chr16,82152709,82152950,100pM,strong,0,0,0
chr16,84724681,84724912,100pM,strong,0,0,0
chr16,85147326,85147791,100pM,strong,0,0,0
chr16,85288929,85289271,100pM,strong,0,0,0
chr16,85306160,85306467,100pM,strong,0,0,0
chr16,85465998,85466335,100pM,strong,0,0,0
chr16,85520975,85521285,100pM,strong,0,0,0
chr16,85753446,85753741,100pM,strong,0,0,0
chr16,88927117,88927631,100pM,strong,0,0,0
chr16,88928299,88928766,100pM,strong,0,0,0
chr17,6676115,6676367,100pM,strong,0,0,0
chr17,28498023,28498234,100pM,strong,0,0,0
chr17,28536794,28537335,100pM,strong,0,0,0
chr17,40311330,40311520,100pM,strong,0,0,0
chr17,40322324,40322625,100pM,strong,0,0,0
chr17,40448676,40449010,100pM,strong,0,0,0
chr17,40576062,40576582,100pM,strong,0,0,0
chr17,40582367,40582580,100pM,strong,0,0,0
chr17,40687476,40687793,100pM,strong,0,0,0
chr17,41536052,41536282,100pM,strong,0,0,0
chr17,50317327,50317567,100pM,strong,0,0,0
chr17,50944376,50944836,100pM,strong,0,0,0
chr17,50948242,50948467,100pM,strong,0,0,0
chr17,50950049,50950243,100pM,strong,0,0,0
chr17,56173942,56174168,100pM,strong,0,0,0
chr17,57085681,57085891,100pM,strong,0,0,0
chr17,57340599,57340912,100pM,strong,0,0,0
chr17,57342873,57343257,100pM,strong,0,0,0
chr17,57357458,57358011,100pM,strong,0,0,0
chr17,57375796,57376110,100pM,strong,0,0,0
chr17,57899844,57900129,100pM,strong,0,0,0
chr17,58639672,58640007,100pM,strong,0,0,0
chr17,60345121,60345454,100pM,strong,0,0,0
chr17,60346863,60347328,100pM,strong,0,1,0
chr17,61723133,61723645,100pM,strong,0,0,0
chr17,66952262,66952635,100pM,strong,0,0,0
chr17,72517855,72518057,100pM,strong,0,0,0
chr17,72617994,72618288,100pM,strong,0,0,0
chr17,73612152,73612439,100pM,strong,0,0,0
chr17,74758337,74758579,100pM,strong,0,0,0
chr17,74760670,74761005,100pM,strong,0,0,0
chr17,74769774,74770119,100pM,strong,0,0,0
chr17,78421122,78421729,100pM,strong,0,0,0
chr17,79812973,79813275,100pM,strong,0,0,0
chr17,80047261,80047554,100pM,strong,0,0,0
chr17,80394718,80394935,100pM,strong,0,0,0
chr17,82103782,82104202,100pM,strong,0,0,0
chr17,82888973,82889362,100pM,strong,0,0,0
chr17,83180984,83181218,100pM,strong,0,0,0
chr18,107139,107410,100pM,strong,0,0,0
chr18,109283,110082,100pM,strong,0,0,0
chr18,111420,111710,100pM,strong,0,0,0
chr18,3395503,3395743,100pM,strong,0,0,0
chr18,3689111,3689511,100pM,strong,0,0,0
chr18,3722580,3722840,100pM,strong,0,0,0
chr18,9757682,9758098,100pM,strong,0,0,0
chr18,9804132,9804460,100pM,strong,0,0,0
chr18,13539841,13540261,100pM,strong,0,0,0
chr18,36099394,36099637,100pM,strong,0,0,0
chr18,45802671,45803007,100pM,strong,0,0,0
chr18,48990858,48991239,100pM,strong,0,0,0
chr18,63155693,63155916,100pM,strong,0,0,0
chr18,63225786,63226018,100pM,strong,0,0,0
chr18,63241402,63241909,100pM,strong,0,0,0
chr18,63257353,63257633,100pM,strong,0,0,0
chr18,63259557,63259809,100pM,strong,0,0,0
chr18,74242668,74243027,100pM,strong,0,0,0
chr18,76857589,76857870,100pM,strong,0,0,0
chr18,77054764,77055010,100pM,strong,0,0,0
chr18,78893598,78893837,100pM,strong,0,0,0
chr18,79062859,79063130,100pM,strong,0,0,0
chr19,1181596,1182175,100pM,strong,0,0,0
chr19,1513158,1513601,100pM,strong,0,0,0
chr19,2525050,2525319,100pM,strong,0,0,0
chr19,2576234,2576512,100pM,strong,0,0,0
chr19,2579163,2579491,100pM,strong,0,0,0
chr19,3390017,3390262,100pM,strong,0,0,0
chr19,4970859,4971057,100pM,strong,0,0,0
chr19,15488585,15488995,100pM,strong,0,0,0
chr19,16463919,16464260,100pM,strong,0,0,0
chr19,23400361,23400814,100pM,strong,0,0,0
chr19,29671401,29671641,100pM,strong,0,0,0
chr19,30698540,30698857,100pM,strong,0,0,0
chr19,35317459,35317816,100pM,strong,0,0,0
chr19,38298952,38299594,100pM,strong,0,0,1
chr19,38321623,38321938,100pM,strong,0,0,0
chr19,39130424,39130696,100pM,strong,0,0,0
chr19,40466100,40466439,100pM,strong,0,0,0
chr19,40920894,40921766,100pM,strong,0,0,0
chr19,47096130,47096335,100pM,strong,0,0,0
chr19,48553901,48554132,100pM,strong,0,0,0
chr19,51807432,51807639,100pM,strong,0,0,0
chr2,7749087,7749303,100pM,strong,0,0,0
chr2,10021771,10022006,100pM,strong,0,0,0
chr2,10757270,10757876,100pM,strong,0,1,0
chr2,11122365,11122677,100pM,strong,0,0,0
chr2,11498009,11498224,100pM,strong,0,0,1
chr2,11498519,11498947,100pM,strong,0,0,0
chr2,11512727,11513033,100pM,strong,0,0,0
chr2,11530992,11531282,100pM,strong,0,0,0
chr2,11532373,11532695,100pM,strong,0,0,0
chr2,11539521,11539962,100pM,strong,0,0,0
chr2,11558668,11558930,100pM,strong,0,0,0
chr2,15142919,15143124,100pM,strong,0,0,0
chr2,20071656,20072071,100pM,strong,0,0,0
chr2,20114022,20114252,100pM,strong,0,0,0
chr2,20381379,20381638,100pM,strong,0,0,0
chr2,26758060,26758246,100pM,strong,0,0,0
chr2,38076088,38076480,100pM,strong,0,0,0
chr2,38096268,38096531,100pM,strong,0,0,0
chr2,41774227,41774521,100pM,strong,0,0,0
chr2,41775778,41776071,100pM,strong,0,0,0
chr2,42342516,42342822,100pM,strong,0,0,0
chr2,43273649,43273842,100pM,strong,0,0,0
chr2,45752562,45752883,100pM,strong,0,0,0
chr2,62858299,62858681,100pM,strong,0,0,0
chr2,64906877,64907343,100pM,strong,0,0,0
chr2,64975370,64975684,100pM,strong,0,0,0
chr2,65300250,65300478,100pM,strong,0,0,0
chr2,70616299,70616558,100pM,strong,0,0,0
chr2,74845297,74845535,100pM,strong,0,0,0
chr2,85954621,85954889,100pM,strong,0,0,0
chr2,85955053,85955320,100pM,strong,0,0,0
chr2,96964707,96964893,100pM,strong,0,0,0
chr2,99636636,99636994,100pM,strong,0,0,0
chr2,100066954,100067144,100pM,strong,0,0,0
chr2,105522718,105523085,100pM,strong,0,1,0
chr2,111535441,111535716,100pM,strong,0,0,0
chr2,133492959,133493222,100pM,strong,0,0,0
chr2,133505175,133505390,100pM,strong,0,0,0
chr2,158723508,158723831,100pM,strong,0,0,0
chr2,159111320,159111845,100pM,strong,0,0,0
chr2,176845700,176846013,100pM,strong,0,0,0
chr2,179580778,179580999,100pM,strong,0,0,0
chr2,190786390,190786717,100pM,strong,0,0,0
chr2,200747025,200747255,100pM,strong,0,0,1
chr2,201985726,201986014,100pM,strong,0,0,0
chr2,214378344,214378534,100pM,strong,0,0,0
chr2,214378643,214379170,100pM,strong,0,0,0
chr2,215979710,215979943,100pM,strong,0,0,0
chr2,215982588,215982931,100pM,strong,0,0,0
chr2,217092642,217092905,100pM,strong,0,0,0
chr2,217388045,217388388,100pM,strong,0,0,0
chr2,219398932,219399217,100pM,strong,0,0,0
chr2,219400204,219400520,100pM,strong,0,0,0
chr2,224331788,224332149,100pM,strong,1,0,0
chr2,225615534,225615874,100pM,strong,0,0,0
chr2,225616449,225616641,100pM,strong,0,0,0
chr2,231223053,231223335,100pM,strong,0,0,0
chr2,231706312,231706508,100pM,strong,0,0,0
chr2,236824887,236825105,100pM,strong,0,0,0
chr2,237025875,237026071,100pM,strong,0,0,0
chr2,237041315,237041652,100pM,strong,0,0,0
chr2,237510154,237510349,100pM,strong,0,0,0
chr2,237558992,237559354,100pM,strong,0,0,0
chr2,239268282,239268762,100pM,strong,0,0,0
chr2,240069918,240070349,100pM,strong,0,0,0
chr20,19130171,19130540,100pM,strong,0,0,0
chr20,32040759,32041074,100pM,strong,0,1,0
chr20,34350219,34350474,100pM,strong,0,0,0
chr20,36587342,36587583,100pM,strong,0,0,0
chr20,44302352,44302633,100pM,strong,0,0,0
chr20,44714683,44714901,100pM,strong,0,0,0
chr20,44765610,44765915,100pM,strong,0,0,0
chr20,45340487,45340685,100pM,strong,0,0,0
chr20,47345188,47345573,100pM,strong,0,1,0
chr20,47352657,47352920,100pM,strong,0,0,0
chr20,47382714,47382926,100pM,strong,0,0,0
chr20,48075832,48076491,100pM,strong,0,0,0
chr20,48158048,48158352,100pM,strong,0,0,0
chr20,48246437,48246685,100pM,strong,0,0,0
chr20,48572241,48572532,100pM,strong,0,0,0
chr20,48663826,48664050,100pM,strong,0,0,0
chr20,48698252,48698442,100pM,strong,0,0,0
chr20,48705400,48705644,100pM,strong,0,0,0
chr20,48864419,48865103,100pM,strong,0,0,0
chr20,50284784,50285056,100pM,strong,0,0,0
chr20,50727404,50727972,100pM,strong,0,0,0
chr20,50764063,50764524,100pM,strong,0,1,1
chr20,50798764,50798967,100pM,strong,0,0,0
chr20,51715993,51716227,100pM,strong,0,0,0
chr20,53346230,53346564,100pM,strong,0,0,0
chr20,53654839,53655065,100pM,strong,0,1,0
chr20,53661147,53661472,100pM,strong,0,0,0
chr20,53661823,53662111,100pM,strong,0,1,0
chr20,54123627,54124025,100pM,strong,0,0,0
chr20,54127162,54127447,100pM,strong,0,0,0
chr20,54149084,54149446,100pM,strong,0,0,0
chr20,54195308,54195657,100pM,strong,0,0,0
chr20,56629295,56629516,100pM,strong,0,0,0
chr20,56735238,56735632,100pM,strong,0,0,0
chr20,56758763,56759156,100pM,strong,0,0,0
chr20,56890133,56890427,100pM,strong,0,1,0
chr20,57263088,57263297,100pM,strong,0,0,0
chr21,14863428,14863663,100pM,strong,0,0,0
chr21,15132810,15133118,100pM,strong,0,0,0
chr21,15199985,15200279,100pM,strong,0,0,0
chr21,15203710,15204047,100pM,strong,0,0,0
chr21,15204308,15204539,100pM,strong,0,0,0
chr21,15210150,15210632,100pM,strong,0,0,0
chr21,15586865,15587409,100pM,strong,0,0,0
chr21,29386225,29386428,100pM,strong,0,0,0
chr21,31529438,31529723,100pM,strong,0,0,0
chr21,36188239,36188546,100pM,strong,0,0,0
chr21,36613105,36613291,100pM,strong,0,0,0
chr21,39524000,39524271,100pM,strong,0,0,0
chr21,40318622,40318900,100pM,strong,0,0,0
chr21,41605565,41605876,100pM,strong,0,0,0
chr21,42056662,42056848,100pM,strong,0,0,0
chr21,42086243,42086499,100pM,strong,0,0,0
chr21,42366430,42366945,100pM,strong,0,0,0
chr21,42375512,42375751,100pM,strong,0,0,0
chr21,42376295,42376644,100pM,strong,0,0,0
chr21,45330210,45330582,100pM,strong,0,0,0
chr21,46294567,46294802,100pM,strong,0,0,0
chr22,23192255,23192616,100pM,strong,0,0,0
chr22,24402756,24403079,100pM,strong,0,0,0
chr22,24526165,24526498,100pM,strong,0,0,0
chr22,24532053,24532531,100pM,strong,1,1,0
chr22,25400866,25401068,100pM,strong,0,0,0
chr22,25943013,25943296,100pM,strong,0,0,0
chr22,28790738,28790975,100pM,strong,0,1,0
chr22,28813678,28814231,100pM,strong,0,0,1
chr22,28819404,28819965,100pM,strong,0,0,1
chr22,28822938,28823257,100pM,strong,0,0,0
chr22,28823849,28824086,100pM,strong,0,1,0
chr22,29378143,29378427,100pM,strong,0,0,1
chr22,29385616,29385862,100pM,strong,0,0,0
chr22,29386205,29386477,100pM,strong,0,0,0
chr22,29517389,29517793,100pM,strong,0,0,0
chr22,29798810,29799080,100pM,strong,0,0,0
chr22,30291134,30291379,100pM,strong,0,0,0
chr22,30298382,30298574,100pM,strong,0,0,0
chr22,33865273,33865472,100pM,strong,0,0,0
chr22,37189151,37189466,100pM,strong,0,0,0
chr22,37197779,37198037,100pM,strong,0,0,0
chr22,37570219,37570603,100pM,strong,0,0,0
