"dose","chrom","start","end","atac","h3k27ac","pro_plus_abs","pro_minus_abs","proseq_mag","proseq_bidir","atac_log","h3k27ac_log","proseq_log","enhancer_score","pc1_var_explained","strength_tier"
"100pM","chr1",14926112,14926309,52.5,4.333333333,10.534,9.07,19.604,0.861021454338333,3.97968165390196,1.67397643350917,3.02548523170334,0.148433256259682,0.75506,"middle"
"100pM","chr1",14977362,14977601,69.18181818,3.888888889,1.435,0.905,2.34,0.630662020905923,4.2510892772005,1.58696505660477,1.20597080698861,-0.581060271815603,0.75506,"middle"
"100pM","chr1",15015804,15016248,148.7777778,31.8125,33.52,16.93444444,50.45444444,0.50520418973747,5.0091527142844,3.49080954035184,3.94069684222267,2.283606568155,0.75506,"strong"
"100pM","chr1",15025569,15025853,51.33333333,11,2.395,0,2.395,0,3.9576335166165,2.484906649788,1.22230376101066,-0.272156310581662,0.75506,"middle"
"100pM","chr1",15048589,15048884,11.45454545,0.6666666667,0,0,0,0,2.52208565266479,0.510825623785991,0,-2.91342511310976,0.75506,"weak"
"100pM","chr1",16608337,16608848,435,149.7142857,123.4333333,33.48272727,156.91606057,0.271261630670068,6.07764224334903,5.01538589676007,5.06206362964201,4.38063491948428,0.75506,"strong"
"100pM","chr1",16614389,16614585,66.88888889,53.125,9.002,22.225,31.227,0.40503937007874,4.21787238185174,3.99129618632265,3.47280461051459,1.80730243723641,0.75506,"strong"
"100pM","chr1",17237478,17237667,22.25,2.5,0,0,0,0,3.14630513203337,1.25276296849537,0,-2.08185421110858,0.75506,"weak"
"100pM","chr1",17314840,17315092,51.54545455,2.25,1.1975,0,1.1975,0,3.96167859596051,1.17865499634165,0.787320350577195,-1.20103552932335,0.75506,"weak"
"100pM","chr1",17520505,17520840,124,27.63636364,9.168571429,2.722,11.890571429,0.296883764398712,4.8283137373023,3.35467736615425,2.55649614715546,1.42939947653171,0.75506,"strong"
"100pM","chr1",17529531,17529724,151.5,21,3.1125,3.326666667,6.439166667,0.93562124239122,5.02716459604747,3.09104245335832,2.00675883544808,1.15580625444645,0.75506,"strong"
"100pM","chr1",18166244,18166536,38.38461538,1.5,0.96,0,0.96,0,3.67337526746078,0.916290731874155,0.672944473242426,-1.5948174390089,0.75506,"weak"
"100pM","chr1",18188247,18188476,26,2.166666667,0,1.51,1.51,0,3.29583686600433,1.15267951004365,0.920282753143693,-1.60003524989488,0.75506,"weak"
"100pM","chr1",18190501,18190922,32.75,4.727272727,1.534,0.3033333333,1.8373333333,0.197740112972621,3.51898041731854,1.74523945354554,1.04286464391943,-1.06287249562098,0.75506,"weak"
"100pM","chr1",18365914,18366222,37.58333333,21.63636364,0,0.3033333333,0.3033333333,0,3.65282040421184,3.11955762382698,0.264925085303589,-0.579243172750954,0.75506,"middle"
"100pM","chr1",19425850,19426050,22.75,5.833333333,3.1125,0.9066666667,4.0191666667,0.291298527453815,3.16758253048065,1.92181259742747,1.61326391727427,-0.930369612679512,0.75506,"weak"
"100pM","chr1",19596712,19596907,235.4444444,54.55555556,4.31,66.042,70.352,0.0652615002574119,5.46571327293735,4.01738352116597,4.26762537436391,3.03808115152041,0.75506,"strong"
"100pM","chr1",20357309,20357585,62.91666667,49,15.32166667,8.166,23.48766667,0.532970738489509,4.15758015163141,3.91202300542815,3.19816958957726,1.59239505327138,0.75506,"strong"
"100pM","chr1",21241727,21241961,33.33333333,4,0,5.4425,5.4425,0,3.53611669946444,1.6094379124341,1.86291666354438,-0.737477541821665,0.75506,"middle"
"100pM","chr1",21401868,21402094,35.88888889,1.4,0,0,0,0,3.60791039161039,0.8754687373539,0,-1.98092566917707,0.75506,"weak"
"100pM","chr1",21639182,21639368,61.375,55.66666667,1.916666667,3.855,5.771666667,0.49718979688716,4.13316455407168,4.03718614844098,1.91274724082081,1.03530013537007,0.75506,"strong"
"100pM","chr1",22469549,22469760,35.66666667,16.33333333,4.022,1.816,5.838,0.451516658378916,3.60186807721522,2.85263142972101,1.92249529121711,0.0251307676407991,0.75506,"middle"
"100pM","chr1",22472570,22472951,93.64705882,15.21428571,3.694285714,8.034285714,11.728571428,0.459815078216921,4.55015480289888,2.78589268760183,2.54384918537656,0.920627341090528,0.75506,"strong"
"100pM","chr1",23957177,23957396,212.8888889,18.55555556,37.35,25.4,62.75,0.680053547523427,5.36545666943761,2.97325941792921,4.15496918403854,2.33758470278186,0.75506,"strong"
"100pM","chr1",24001327,24001620,78.91666667,7.222222222,6.386666667,0,6.386666667,0,4.38098442513715,2.10684051584092,1.9996765732561,0.171622507851521,0.75506,"middle"
"100pM","chr1",24018888,24019114,194.6666667,17.375,14.20666667,12.156,26.36266667,0.855654622042315,5.27641253133034,2.9109910450989,3.30917955401362,1.84167175029329,0.75506,"strong"
"100pM","chr1",24567986,24568423,161.5882353,32.58823529,91.17,12.245,103.415,0.134309531644181,5.09122084086752,3.5141758654772,4.64837334328874,2.68767488772213,0.75506,"strong"
"100pM","chr1",24570458,24570762,144.3076923,13.63636364,19.70142857,1.27,20.97142857,0.0644623305100763,4.97885350998703,2.68350909243454,3.08974290795121,1.41116054149586,0.75506,"strong"
"100pM","chr1",30296284,30296514,18.8,7,4.214,1.36,5.574,0.322733744660655,2.98568193770049,2.07944154167984,1.88312247524203,-0.837076878223527,0.75506,"weak"
"100pM","chr1",30302820,30303518,42.92857143,20.42307692,4.023,2.72,6.743,0.676112353964703,3.78256493822378,3.06446870176218,2.04678920940459,0.323220388317584,0.75506,"middle"
"100pM","chr1",30345509,30345956,84.05263158,8.461538462,1.342,0.9066666667,2.2486666667,0.675608544485842,4.44327025992698,2.24723499795966,1.17824465576347,-0.098476506182052,0.75506,"middle"
"100pM","chr1",31186682,31186876,54.5,9.555555556,0,2.72,2.72,0,4.01638302075239,2.35665231430643,1.31372366828506,-0.260456103657474,0.75506,"middle"
"100pM","chr1",31368808,31369184,84,5.454545455,3.59125,0.68,4.27125,0.189349112426036,4.44265125649032,1.86478460431337,1.66226752607863,-0.0814436659219244,0.75506,"middle"
"100pM","chr1",31830415,31830623,74,54.625,9.002,5.626,14.628,0.62497222839369,4.31748811353631,4.0186327404864,2.74906417719282,1.5459144097525,0.75506,"strong"
"100pM","chr1",31830746,31831071,120.2142857,16.78571429,7.664,7.076,14.74,0.923277661795407,4.79755993550111,2.87839556709041,2.75620524298926,1.23912619695665,0.75506,"strong"
"100pM","chr1",31842915,31843238,184.3571429,14.2,6.32,6.868571429,13.188571429,0.920133111423453,5.22228446621594,2.72129542785223,2.65243681161486,1.38823432623992,0.75506,"strong"
"100pM","chr1",31880177,31880453,66.18181818,17.8,6.32,21.77142857,28.09142857,0.290288713929809,4.20740264812277,2.9338568698359,3.37044357992972,1.16467165167738,0.75506,"strong"
"100pM","chr1",33660447,33660788,86.46666667,3.857142857,2.635,0,2.635,0,4.47125776843993,1.58045037553144,1.29060911098548,-0.396465491064205,0.75506,"middle"
"100pM","chr1",37793330,37793632,132.2307692,52.23076923,4.79,23.97428571,28.76428571,0.199797402014026,4.8920827314299,3.97463659814168,3.39330920866916,2.21364101140756,0.75506,"strong"
"100pM","chr1",38421697,38421928,35,15.7,5.172,0,5.172,0,3.58351893845611,2.81540871942271,1.82002293450091,-0.0565108162116544,0.75506,"middle"
"100pM","chr1",38813531,38813726,24.71428571,2.5,1.4375,0,1.4375,0,3.24704670166823,1.25276296849537,0.890972923889865,-1.59119505936254,0.75506,"weak"
"100pM","chr1",39142876,39143201,98.64285714,5.3,2.11,2.268333333,4.378333333,0.930198383678207,4.60159236461153,1.84054963339749,1.68237853677384,0.0215170696901162,0.75506,"middle"
"100pM","chr1",40095029,40095232,22.625,16.75,2.395,17.2375,19.6325,0.138941261783901,3.16230547337981,2.87638551592142,3.0268675024847,0.266985501774284,0.75506,"middle"
"100pM","chr1",40141069,40141303,38.1,166.0909091,14.20666667,23.224,37.43066667,0.611723504564244,3.66612246699132,5.11853803017167,3.64885575207135,2.1456391597441,0.75506,"strong"
"100pM","chr1",41778400,41778701,53.41666667,6.5,0.64,1.513333333,2.153333333,0.422907489079936,3.99667047954969,2.01490302054226,1.14846009428997,-0.541867860876403,0.75506,"middle"
"100pM","chr1",41789713,41790145,181.5,22.6875,1.505714286,21.97333333,23.479047616,0.0685246186086961,5.20675017302255,3.16494748284265,3.19781755231216,1.8829474214435,0.75506,"strong"
"100pM","chr1",41860205,41860513,92.92307692,25.54545455,5.747142857,15.68,21.427142857,0.366526967920918,4.54247611661641,3.27885852964114,3.11027195999054,1.45798541917981,0.75506,"strong"
"100pM","chr1",41866307,41866590,86.90909091,27.90909091,3.832,10.735,14.567,0.356963204471355,4.47630322266527,3.36415611001325,2.74515328905371,1.28752972966315,0.75506,"strong"
"100pM","chr1",41868211,41868524,122.6923077,8.555555556,6.43,2.72,9.15,0.423017107309487,4.81779709233956,2.2571227189638,2.3174737054878,0.699598581835762,0.75506,"strong"
"100pM","chr1",42152190,42152392,65.25,0.3333333333,0,0,0,0,4.19343546486633,0.287682072426781,0,-1.9135247390439,0.75506,"weak"
"100pM","chr1",42992408,42992727,102.75,16.33333333,5.364,0.906,6.27,0.168903803131991,4.64198415911081,2.85263142972101,1.98375629154543,0.753556310210684,0.75506,"strong"
"100pM","chr1",43830851,43831145,91.91666667,15.09090909,12.642,1.813333333,14.455333333,0.143437219822813,4.53170303414209,2.77825445971896,2.73795414332302,0.996117655435625,0.75506,"strong"
"100pM","chr1",45304711,45304967,133.8181818,23,23.176,5.215,28.391,0.22501725923369,4.9039270692047,3.17805383034795,3.38068850503061,1.77341716585966,0.75506,"strong"
"100pM","chr1",45516839,45517141,49,9.384615385,2.635,4.405714286,7.040714286,0.598086900090915,3.91202300542815,2.34032542101393,2.08451792078699,0.0261889518621428,0.75506,"middle"
"100pM","chr1",51306935,51307334,62.94117647,6.214285714,0.48,1.425714286,1.905714286,0.336673346625917,4.15796354305579,1.9760631871864,1.06667924166343,-0.49379873702591,0.75506,"middle"
"100pM","chr1",51321415,51321751,145.8666667,49.57142857,11.21857143,3.023333333,14.241904763,0.269493611719153,4.9895251459271,3.92338676405021,2.72404852689741,1.93302724898598,0.75506,"strong"
"100pM","chr1",51541887,51542085,72.11111111,9.714285714,2.635,0.455,3.09,0.172675521821632,4.2919803539739,2.37157796445433,1.40854497005471,-0.0218569197713934,0.75506,"middle"
"100pM","chr1",51567594,51568036,105.2105263,24.88888889,9.93625,6.953333333,16.889583333,0.69979452338659,4.66542322159845,3.2538138762724,2.88421860675192,1.41944703256625,0.75506,"strong"
"100pM","chr1",51578803,51579008,72.11111111,8,4.598,3.855,8.453,0.838408003479774,4.2919803539739,2.19722457733622,2.24633215144325,0.279033704305656,0.75506,"middle"
"100pM","chr1",51612594,51612813,10.44444444,2.2,0,2.95,2.95,0,2.43750441050507,1.16315080980568,1.37371557891303,-1.95610885720276,0.75506,"weak"
"100pM","chr1",53411844,53412071,40.8,2.25,0,0,0,0,3.73289633953071,1.17865499634165,0,-1.72858448121654,0.75506,"weak"
"100pM","chr1",61215667,61216064,64.25,5.833333333,2.052857143,0,2.052857143,0,4.1782260462028,1.92181259742747,1.11607792032254,-0.486841859758157,0.75506,"middle"
"100pM","chr1",61496383,61496726,31.53333333,2.875,0.48,0.905,1.385,0.530386740331492,3.48226520464848,1.35454566280531,0.869199124340305,-1.38687453694978,0.75506,"weak"
"100pM","chr1",61498430,61498664,10.77777778,5.5,0,0.455,0.455,0,2.46621451696453,1.87180217690159,0.375005900623456,-2.0174834830869,0.75506,"weak"
"100pM","chr1",64983220,64983492,111.4166667,6.875,0.9566666667,6.953333333,7.9099999997,0.137583892628839,4.72221220671627,2.0636931847117,2.18717424144905,0.466103761476289,0.75506,"middle"
"100pM","chr1",65044375,65044700,60,4.444444444,13.72666667,21.51285714,35.23952381,0.638068043713137,4.11087386417331,1.69459572069277,3.59015034118779,0.516122344561964,0.75506,"middle"
"100pM","chr1",70915381,70915638,25.18181818,5.111111111,0.48,1.513333333,1.993333333,0.317180616809952,3.26506520726813,1.81010860787807,1.09638759353464,-1.17218230327764,0.75506,"weak"
"100pM","chr1",71448647,71449002,87.875,6.3,2.233333333,1.135,3.368333333,0.508208955299733,4.48723088812341,1.98787434815435,1.47438154803095,-0.072325159779872,0.75506,"middle"
"100pM","chr1",71461536,71461747,46.25,8.777777778,2.873333333,2.72,5.593333333,0.946635730968287,3.85545265393975,2.28011223716471,1.8860590374759,-0.139476443076304,0.75506,"middle"
"100pM","chr1",74652416,74652892,113.25,23.7,3.991666667,5.571428571,9.563095238,0.716452991567932,4.73838902977431,3.20680324363393,2.35736634498896,1.19232692062161,0.75506,"strong"
"100pM","chr1",74690170,74690385,8.428571429,15.125,0.48,0,0.48,0,2.24374459301657,2.78037086268184,0.392042087776024,-1.65461743898731,0.75506,"weak"
"100pM","chr1",74703427,74703706,20.72727273,7.222222222,0.32,0.455,0.775,0.703296703296703,3.07856827925866,2.10684051584092,0.573800422927379,-1.38091628280323,0.75506,"weak"
"100pM","chr1",76944177,76944436,24.4,7.857142857,0.48,0,0.48,0,3.23474917402449,2.18122423597365,0.392042087776024,-1.32088896685246,0.75506,"weak"
"100pM","chr1",76945067,76945282,30.3,5.833333333,0.9566666667,3.023333333,3.9799999997,0.316427783948889,3.44361809754611,1.92181259742747,1.60542989097632,-0.748489249089656,0.75506,"weak"
"100pM","chr1",78800903,78801108,12.11111111,0,0,0,0,0,2.5734600470447,0,0,-3.16245050579769,0.75506,"weak"
"100pM","chr1",79392545,79392745,13.5,5.4,0.96,3.933333333,4.893333333,0.244067796630853,2.67414864942653,1.85629799036563,1.77382176848483,-1.22229683716486,0.75506,"weak"
"100pM","chr1",82386789,82387111,28.46153846,1.666666667,0.32,0,0.32,0,3.38308563166689,0.980829253136726,0.277631736598279,-1.941819377903,0.75506,"weak"
"100pM","chr1",85504253,85504506,34.09090909,1.5,0,0,0,0,3.55794209664055,0.916290731874155,0,-1.99186202607113,0.75506,"weak"
"100pM","chr1",85822762,85823011,43.5,6,0,1.088,1.088,0,3.79548918917219,1.94591014905531,0.736206670020392,-0.91112264133022,0.75506,"weak"
"100pM","chr1",87715094,87715337,30.3,4.25,0,2.178,2.178,0,3.44361809754611,1.65822807660353,1.15625206811452,-1.10802338923438,0.75506,"weak"
"100pM","chr1",91100325,91100597,21.2,1.833333333,0.48,0,0.48,0,3.10009228887823,1.04145387471051,0.392042087776024,-2.04413499379947,0.75506,"weak"
"100pM","chr1",93755765,93755987,54.5,1.4,7.663333333,1.815,9.478333333,0.23684210527346,4.01638302075239,0.8754687373539,2.3493096331351,-0.591119327680173,0.75506,"middle"
"100pM","chr1",94101008,94101285,38.66666667,5.75,1.9175,0,1.9175,0,3.68051120452745,1.90954250488444,1.07072708517857,-0.849830383814288,0.75506,"weak"
"100pM","chr1",94423122,94423345,19.4,1.833333333,3.8325,0.905,4.7375,0.236138290932811,3.01553490085017,1.04145387471051,1.74702357538666,-1.45781235148779,0.75506,"weak"
"100pM","chr1",102052139,102052461,33.21428571,1.2,10.055,0,10.055,0,3.5326432676704,0.78845736036427,2.40288281430941,-0.939244731113332,0.75506,"weak"
"100pM","chr1",107420522,107420809,27.16666667,0.75,0.64,0.3033333333,0.9433333333,0.47395833328125,3.33813924581336,0.559615787935423,0.664404711677139,-2.02227130842922,0.75506,"weak"
"100pM","chr1",107756417,107756687,45.54545455,29.1,1.435,4.898,6.333,0.292976725193957,3.84042935233879,3.40452517175483,1.99238470911166,0.525073639243043,0.75506,"middle"
"100pM","chr1",108199222,108199511,150.3846154,35.07692308,75.24571429,27.86142857,103.10714286,0.370272630579609,5.01982372025229,3.58565341107003,4.64542058863683,2.6779461851588,0.75506,"strong"
"100pM","chr1",109115714,109115910,23,34.55555556,22.216,2.7225,24.9385,0.12254681310767,3.17805383034795,3.57109641858255,3.25572835146459,0.771855043959625,0.75506,"strong"
"100pM","chr1",109950536,109950764,28.66666667,0.5,0.32,0,0.32,0,3.39002408117639,0.405465108108164,0.277631736598279,-2.25654877345634,0.75506,"weak"
"100pM","chr1",110246036,110246231,20,0,0.48,0,0.48,0,3.04452243772342,0,0.392042087776024,-2.65962781077281,0.75506,"weak"
"100pM","chr1",110746418,110746836,74.11111111,5.923076923,0,0.3033333333,0.3033333333,0,4.31896849869195,1.93486031285762,0.264925085303589,-0.788988925498915,0.75506,"weak"
"100pM","chr1",111473259,111473625,20.33333333,0.8,0.72,0,0.72,0,3.06027079453531,0.587786664902119,0.542324290825362,-2.2514131428707,0.75506,"weak"
"100pM","chr1",111513399,111513821,93.16666667,3.666666667,0.96,4.08375,5.04375,0.235078053259871,4.54506626195378,1.54044504101858,1.79902468021947,-0.127713759885564,0.75506,"middle"
"100pM","chr1",113976671,113976901,192.9090909,20.18181818,15.165,3.63,18.795,0.239366963402572,5.2673894456261,3.05314318068149,2.98542938055809,1.76083964529963,0.75506,"strong"
"100pM","chr1",113989461,113989647,26.25,0.5,0,0,0,0,3.30505352110925,0.405465108108164,0,-2.44546576037477,0.75506,"weak"
"100pM","chr1",114034116,114034362,189.4545455,10.77777778,21.06833333,0,21.06833333,0,5.24941355979653,2.46621451696453,3.09414369997256,1.47454289271457,0.75506,"strong"
"100pM","chr1",115665492,115665732,148,12.81818182,11.494,1.088,12.582,0.0946580824778145,5.00394630594546,2.62598524817948,2.6087453866916,1.1677819520767,0.75506,"strong"
"100pM","chr1",116167452,116167638,18,1,0,0,0,0,2.94443897916644,0.693147180559945,0,-2.52823609034069,0.75506,"weak"
"100pM","chr1",116652729,116653041,38.75,1,1.4375,8.811428571,10.248928571,0.163140402083162,3.68260984110034,0.693147180559945,2.42027288598166,-0.883064880214214,0.75506,"weak"
"100pM","chr1",117847236,117847448,20.66666667,5.571428571,0.48,6.3525,6.8325,0.0755608028335301,3.07577498138137,1.88273124736856,2.05828174384421,-0.802554158817924,0.75506,"weak"
"100pM","chr1",145708190,145708589,79.41176471,9.285714286,0.32,2.72,3.04,0.117647058823529,4.38716049271894,2.33075596998852,1.39624469197306,0.0136400372648401,0.75506,"middle"
"100pM","chr1",145765485,145765833,50.6,3.272727273,0.48,3.17375,3.65375,0.151240645923592,3.94352167248752,1.45225232897552,1.53767334620479,-0.705190801096262,0.75506,"middle"
"100pM","chr1",147669350,147669543,66.71428571,49.5,3.8325,23.28333333,27.11583333,0.164602720138096,4.21529717257647,3.92197333628131,3.3363328813547,1.70230880402843,0.75506,"strong"
"100pM","chr1",148376537,148376820,46.25,3.666666667,0,0.455,0.455,0,3.85545265393975,1.54044504101858,0.375005900623456,-1.26733874757244,0.75506,"weak"
"100pM","chr1",150981812,150982046,77.5,27.66666667,7.086,0.9066666667,7.9926666667,0.127951829904036,4.36309862478836,3.35573500770168,2.19640943038308,0.946263889326576,0.75506,"strong"
"100pM","chr1",151008037,151008300,68.27272727,13.5,1.916666667,8.768333333,10.685,0.218589621791241,4.23805128284891,2.67414864942653,2.45830596799082,0.60814087986641,0.75506,"middle"
"100pM","chr1",152743192,152743429,94.45454545,10.81818182,0,0.9075,0.9075,0,4.55865017030558,2.46963917781106,0.645793484176475,-0.150179329259511,0.75506,"middle"
"100pM","chr1",153520304,153520499,20.75,1,0,0,0,0,3.07961375753469,0.693147180559945,0,-2.43734815877143,0.75506,"weak"
"100pM","chr1",156616569,156616758,167.8888889,17.375,28.154,16.33,44.484,0.580024152873482,5.12924103656989,2.9109910450989,3.81736061576248,1.9839387458611,0.75506,"strong"
"100pM","chr1",162159452,162159808,121.9333333,24.53333333,19.95166667,18.53285714,38.48452381,0.928887668711238,4.81164220274318,3.23998478794789,3.67590879285403,1.88588011826877,0.75506,"strong"
"100pM","chr1",162165654,162166154,53.1,27.4,3.2325,21.3175,24.55,0.151635979828779,3.99083418585244,3.34638914516716,3.24063731664971,1.18644471687669,0.75506,"strong"
"100pM","chr1",164748351,164748822,46.72222222,2.636363636,7.767777778,0,7.767777778,0,3.86539716404153,1.29098418121557,2.17108338522207,-0.546578041383189,0.75506,"middle"
"100pM","chr1",165163058,165163257,151.5555556,29,4.98,0.455,5.435,0.0913654618473896,5.02752882872308,3.40119738166216,1.86175184104809,1.25939224314578,0.75506,"strong"
"100pM","chr1",169517692,169517951,15.33333333,9.8,0,1.36,1.36,0,2.79320800923844,2.37954613413017,0.858661619037519,-1.28618464093253,0.75506,"weak"
"100pM","chr1",169529402,169529671,215.5454545,20.54545455,17.814,4.534,22.348,0.254518917705176,5.37780047690697,3.07016486854773,3.15051132734154,1.92288651379053,0.75506,"strong"
"100pM","chr1",169690350,169690608,53.18181818,0.5,0,0,0,0,3.99234539423342,0.405465108108164,0,-1.98334895510477,0.75506,"weak"
"100pM","chr1",176823240,176823430,87.875,2.2,0,0.3033333333,0.3033333333,0,4.48723088812341,1.16315080980568,0.264925085303589,-1.10424310424948,0.75506,"weak"
"100pM","chr1",177301310,177301632,27.38461538,1,0.48,1.815,2.295,0.264462809917355,3.34584728641639,0.693147180559945,1.19240616795447,-1.69233357225584,0.75506,"weak"
"100pM","chr1",177420066,177420363,104.4615385,3.3,1.435,0.455,1.89,0.317073170731707,4.65834632246547,1.45861502269952,1.06125650212434,-0.447173144489711,0.75506,"middle"
"100pM","chr1",177440911,177441225,56.08333333,15.2,16.76,1.268,18.028,0.0756563245823389,4.04451218841583,2.78501124223834,2.94591157857004,0.771006615740327,0.75506,"strong"
"100pM","chr1",177448787,177449083,174.25,13.33333333,8.46,8.315,16.775,0.982860520094562,5.1662135259147,2.66258782679289,2.8777929756893,1.4249152011096,0.75506,"strong"
"100pM","chr1",177476754,177476985,39.7,5.375,0.32,0,0.32,0,3.70622809244855,1.85238409104449,0.277631736598279,-1.24073174792812,0.75506,"weak"
"100pM","chr1",177951533,177951734,26.42857143,2,0.32,1.36,1.68,0.235294117647059,3.31158522302455,1.09861228866811,0.985816794522765,-1.58835270906528,0.75506,"weak"
"100pM","chr1",180228560,180228795,131.4,12.57142857,3.83,10.205,14.035,0.37530622243998,4.88582764350291,2.60796674243996,2.71038081644049,1.12660358328282,0.75506,"strong"
"100pM","chr1",183023877,183024182,245.2307692,35.83333333,9.851428571,14.51428571,24.365714281,0.678740157651203,5.50626918238336,3.6064032321992,3.23339843072467,2.34628517807866,0.75506,"strong"
"100pM","chr1",184473095,184473321,15.77777778,11.42857143,0.64,5.898333333,6.538333333,0.108505227471518,2.82005525961116,2.51999796971421,2.02000111421748,-0.638906374018829,0.75506,"middle"
"100pM","chr1",184482955,184483374,71,7.647058824,2.766666667,0.455,3.221666667,0.164457831305487,4.27666611901606,2.15721924277694,1.44022999486449,-0.136107940904839,0.75506,"middle"
"100pM","chr1",184547760,184548144,65.6,3.545454545,3.557142857,1.058333333,4.61547619,0.29752342695974,4.19870457754634,1.51412773252978,1.7255263913621,-0.410095205682898,0.75506,"middle"
"100pM","chr1",184626711,184626957,90.9,8.375,2.715,1.135,3.85,0.41804788213628,4.52070102936164,2.23804657185647,1.57897870494939,0.13870394716211,0.75506,"middle"
"100pM","chr1",186153047,186153233,37.625,0.6666666667,0,0.905,0.905,0,3.65389973521791,0.510825623785991,0.644482008578664,-1.84650343009348,0.75506,"weak"
"100pM","chr1",187381576,187381762,10.125,1,0,0,0,0,2.4091948280523,0.693147180559945,0,-2.88812004477765,0.75506,"weak"
"100pM","chr1",188432520,188432841,48.61538462,0.6666666667,0,1.36,1.36,0,3.90430095942726,0.510825623785991,0.858661619037519,-1.57647443974579,0.75506,"weak"
"100pM","chr1",188893558,188893811,16.36363636,9.125,0.48,0.455,0.935,0.947916666666667,2.85437815503884,2.3150076129926,0.660107326481745,-1.37513081021597,0.75506,"weak"
"100pM","chr1",190285205,190285464,26.55555556,1.25,0,2.27,2.27,0,3.31620416899005,0.810930216216329,1.18478998490916,-1.65049662657493,0.75506,"weak"
"100pM","chr1",191150121,191150314,10.25,3,0,0.9066666667,0.9066666667,0,2.42036812865043,1.38629436111989,0.645356516741079,-2.18949432608794,0.75506,"weak"
"100pM","chr1",191427732,191427943,29.66666667,1.2,0.48,0.9066666667,1.3866666667,0.529411764686419,3.42317628848963,0.78845736036427,0.869897692318411,-1.74051820541558,0.75506,"weak"
"100pM","chr1",192049301,192049491,10.875,0,0,0,0,0,2.47443534992071,0,0,-3.22903208266074,0.75506,"weak"
"100pM","chr1",193919890,193920097,18.55555556,3,0,0.455,0.455,0,2.97325941792921,1.38629436111989,0.375005900623456,-1.94607377221603,0.75506,"weak"
"100pM","chr1",197485899,197486152,162.5,8.727272727,1.4375,7.56,8.9975,0.190145502645503,5.09681299033731,2.2749335616355,2.30233506173884,0.88990262436007,0.75506,"strong"
"100pM","chr1",200016796,200017202,99.27777778,15.13333333,24.30125,18.03,42.33125,0.741937143151073,4.60794411289298,2.78088752484786,3.76887408370866,1.53819443572523,0.75506,"strong"
"100pM","chr1",200114737,200114924,20.85714286,1.333333333,0.96,0.455,1.415,0.473958333333333,3.08452777246784,0.847297860244346,0.881699287104536,-1.92995116201909,0.75506,"weak"
"100pM","chr1",200337239,200337528,30.83333333,2.428571429,0,0,0,0,3.46051395871386,1.23214368141763,0,-1.88203466368149,0.75506,"weak"
"100pM","chr1",201045078,201045361,15.63636364,1,0,0.3033333333,0.3033333333,0,2.81159088026163,0.693147180559945,0.264925085303589,-2.4918061243841,0.75506,"weak"
"100pM","chr1",202108291,202108509,50.33333333,16.77777778,2.155,0,2.155,0,3.93834031368058,2.87794923802261,1.14898849599318,-0.101744758963589,0.75506,"middle"
