"peak_chrom","peak_start","peak_end","alu_chrom","alu_start","alu_end","subfamily","distance","set","dose","alu_key","has_motif"
"chr10",126175939,126176185,"chr10",126174757,126175055,"AluY",885,"SetA","100pM","chr10:126174757-126175055",FALSE
"chr10",128541274,128541546,"chr10",128534032,128534328,"AluY",6947,"SetA","100pM","chr10:128534032-128534328",FALSE
"chr11",2169099,2169395,"chr11",2174987,2175292,"AluY",5593,"SetA","100pM","chr11:2174987-2175292",FALSE
"chr11",60757268,60757496,"chr11",60755234,60755532,"AluY",1737,"SetA","100pM","chr11:60755234-60755532",FALSE
"chr11",78268284,78268550,"chr11",78267576,78267881,"AluY",404,"SetA","100pM","chr11:78267576-78267881",FALSE
"chr11",79059848,79060546,"chr11",79058261,79058565,"AluY",1284,"SetA","100pM","chr11:79058261-79058565",FALSE
"chr11",84687513,84687814,"chr11",84685712,84685986,"AluY",1528,"SetA","100pM","chr11:84685712-84685986",FALSE
"chr11",101299190,101299893,"chr11",101302394,101302690,"AluY",2502,"SetA","100pM","chr11:101302394-101302690",FALSE
"chr11",101300508,101300784,"chr11",101302394,101302690,"AluY",1611,"SetA","100pM","chr11:101302394-101302690",FALSE
"chr11",101436612,101436855,"chr11",101431407,101431723,"AluY",4890,"SetA","100pM","chr11:101431407-101431723",FALSE
"chr11",101438198,101438433,"chr11",101431407,101431723,"AluY",6476,"SetA","100pM","chr11:101431407-101431723",FALSE
"chr11",101441743,101442115,"chr11",101431407,101431723,"AluY",10021,"SetA","100pM","chr11:101431407-101431723",FALSE
"chr11",101443739,101443998,"chr11",101431407,101431723,"AluY",12017,"SetA","100pM","chr11:101431407-101431723",FALSE
"chr11",117185212,117185449,"chr11",117185037,117185347,"AluY",0,"SetA","100pM","chr11:117185037-117185347",FALSE
"chr11",129694481,129694841,"chr11",129693756,129694065,"AluY",417,"SetA","100pM","chr11:129693756-129694065",FALSE
"chr11",131897303,131897609,"chr11",131896679,131896987,"AluY",317,"SetA","100pM","chr11:131896679-131896987",FALSE
"chr11",131900374,131900567,"chr11",131896679,131896987,"AluY",3388,"SetA","100pM","chr11:131896679-131896987",FALSE
"chr12",6363947,6364213,"chr12",6364473,6364776,"AluY",261,"SetA","100pM","chr12:6364473-6364776",FALSE
"chr12",23235456,23235740,"chr12",23231999,23232294,"AluY",3163,"SetA","100pM","chr12:23231999-23232294",FALSE
"chr12",100952462,100952977,"chr12",100947901,100948178,"AluY",4285,"SetA","100pM","chr12:100947901-100948178",FALSE
"chr12",119171226,119171561,"chr12",119170694,119170994,"AluY",233,"SetA","100pM","chr12:119170694-119170994",FALSE
"chr13",32068354,32068549,"chr13",32068908,32069214,"AluY",360,"SetA","100pM","chr13:32068908-32069214",FALSE
"chr13",46143262,46143472,"chr13",46143787,46144100,"AluY",316,"SetA","100pM","chr13:46143787-46144100",FALSE
"chr14",91418102,91418453,"chr14",91419944,91420221,"AluY",1492,"SetA","100pM","chr14:91419944-91420221",FALSE
"chr14",99964964,99965421,"chr14",99963956,99964276,"AluY",689,"SetA","100pM","chr14:99963956-99964276",FALSE
"chr14",105032374,105032598,"chr14",105031965,105032272,"AluY",103,"SetA","100pM","chr14:105031965-105032272",FALSE
"chr15",78135404,78135724,"chr15",78135684,78135952,"AluY",0,"SetA","100pM","chr15:78135684-78135952",FALSE
"chr15",82952222,82952420,"chr15",82953591,82953896,"AluY",1172,"SetA","100pM","chr15:82953591-82953896",FALSE
"chr15",95895616,95895914,"chr15",95896419,95896724,"AluY",506,"SetA","100pM","chr15:95896419-95896724",FALSE
"chr16",327181,327435,"chr16",326858,327154,"AluY",28,"SetA","100pM","chr16:326858-327154",FALSE
"chr16",2719318,2719527,"chr16",2718313,2718616,"AluY",703,"SetA","100pM","chr16:2718313-2718616",FALSE
"chr16",3166515,3166962,"chr16",3167517,3167828,"AluY",556,"SetA","100pM","chr16:3167517-3167828",FALSE
"chr17",57085681,57085891,"chr17",57083944,57084247,"AluY",1435,"SetA","100pM","chr17:57083944-57084247",FALSE
"chr17",57375796,57376110,"chr17",57376922,57377219,"AluY",813,"SetA","100pM","chr17:57376922-57377219",TRUE
"chr17",72617994,72618288,"chr17",72618975,72619278,"AluY",688,"SetA","100pM","chr17:72618975-72619278",FALSE
"chr17",82103782,82104202,"chr17",82104530,82104837,"AluY",329,"SetA","100pM","chr17:82104530-82104837",FALSE
"chr17",83180984,83181218,"chr17",83170304,83170603,"AluY",10382,"SetA","100pM","chr17:83170304-83170603",FALSE
"chr18",77054764,77055010,"chr18",77057824,77058117,"AluY",2815,"SetA","100pM","chr18:77057824-77058117",FALSE
"chr19",1181596,1182175,"chr19",1181113,1181394,"AluY",203,"SetA","100pM","chr19:1181113-1181394",FALSE
"chr19",16463919,16464260,"chr19",16464805,16465094,"AluY",546,"SetA","100pM","chr19:16464805-16465094",FALSE
"chr2",10021771,10022006,"chr2",10021265,10021553,"AluY",219,"SetA","100pM","chr2:10021265-10021553",FALSE
"chr2",42342516,42342822,"chr2",42344570,42344863,"AluY",1749,"SetA","100pM","chr2:42344570-42344863",FALSE
"chr2",45820733,45820919,"chr2",45817411,45817710,"AluY",3024,"SetA","100pM","chr2:45817411-45817710",FALSE
"chr2",72575001,72575239,"chr2",72573833,72574129,"AluY",873,"SetA","100pM","chr2:72573833-72574129",FALSE
"chr2",138435740,138436038,"chr2",138437008,138437309,"AluY",971,"SetA","100pM","chr2:138437008-138437309",FALSE
"chr2",139245259,139245660,"chr2",139246504,139246784,"AluY",845,"SetA","100pM","chr2:139246504-139246784",FALSE
"chr2",149991106,149991424,"chr2",149985609,149985910,"AluY",5197,"SetA","100pM","chr2:149985609-149985910",FALSE
"chr2",157125313,157125517,"chr2",157124177,157124477,"AluY",837,"SetA","100pM","chr2:157124177-157124477",FALSE
"chr2",217092642,217092905,"chr2",217088713,217089019,"AluY",3624,"SetA","100pM","chr2:217088713-217089019",FALSE
"chr2",224331788,224332149,"chr2",224332017,224332330,"AluY",0,"SetA","100pM","chr2:224332017-224332330",FALSE
"chr2",237235476,237235784,"chr2",237237582,237237894,"AluY",1799,"SetA","100pM","chr2:237237582-237237894",FALSE
"chr20",34350219,34350474,"chr20",34350510,34350818,"AluY",37,"SetA","100pM","chr20:34350510-34350818",FALSE
"chr20",48663826,48664050,"chr20",48664092,48664397,"AluY",43,"SetA","100pM","chr20:48664092-48664397",FALSE
"chr20",50284784,50285056,"chr20",50287209,50287511,"AluY",2154,"SetA","100pM","chr20:50287209-50287511",FALSE
"chr21",15005343,15005675,"chr21",15011198,15011486,"AluY",5524,"SetA","100pM","chr21:15011198-15011486",FALSE
"chr21",15199985,15200279,"chr21",15202156,15202452,"AluY",1878,"SetA","100pM","chr21:15202156-15202452",FALSE
"chr21",15203710,15204047,"chr21",15202156,15202452,"AluY",1259,"SetA","100pM","chr21:15202156-15202452",FALSE
"chr21",15204308,15204539,"chr21",15202156,15202452,"AluY",1857,"SetA","100pM","chr21:15202156-15202452",FALSE
"chr21",17746125,17746330,"chr21",17745476,17745782,"AluY",344,"SetA","100pM","chr21:17745476-17745782",FALSE
"chr21",31529438,31529723,"chr21",31528920,31529218,"AluY",221,"SetA","100pM","chr21:31528920-31529218",FALSE
"chr21",39524000,39524271,"chr21",39524885,39525183,"AluY",615,"SetA","100pM","chr21:39524885-39525183",FALSE
"chr21",44764830,44765016,"chr21",44769378,44769677,"AluY",4363,"SetA","100pM","chr21:44769378-44769677",FALSE
"chr22",24532053,24532531,"chr22",24531758,24532071,"AluY",0,"SetA","100pM","chr22:24531758-24532071",FALSE
"chr22",25400866,25401068,"chr22",25400262,25400562,"AluY",305,"SetA","100pM","chr22:25400262-25400562",FALSE
"chr22",46465836,46466066,"chr22",46467541,46467840,"AluY",1476,"SetA","100pM","chr22:46467541-46467840",FALSE
"chr3",42819957,42820271,"chr3",42820347,42820614,"AluY",77,"SetA","100pM","chr3:42820347-42820614",FALSE
"chr3",61708106,61708450,"chr3",61708443,61708755,"AluY",0,"SetA","100pM","chr3:61708443-61708755",FALSE
"chr3",100104189,100104447,"chr3",100094674,100094987,"AluY",9203,"SetA","100pM","chr3:100094674-100094987",FALSE
"chr3",154224482,154224700,"chr3",154227292,154227580,"AluY",2593,"SetA","100pM","chr3:154227292-154227580",FALSE
"chr3",164380276,164380543,"chr3",164379356,164379675,"AluY",602,"SetA","100pM","chr3:164379356-164379675",FALSE
"chr3",189772972,189773228,"chr3",189773915,189774221,"AluY",688,"SetA","100pM","chr3:189773915-189774221",FALSE
"chr4",997869,998083,"chr4",998963,999231,"AluY",881,"SetA","100pM","chr4:998963-999231",FALSE
"chr4",3463257,3463501,"chr4",3456213,3456523,"AluY",6735,"SetA","100pM","chr4:3456213-3456523",FALSE
"chr4",10656427,10656689,"chr4",10655637,10655948,"AluY",480,"SetA","100pM","chr4:10655637-10655948",FALSE
"chr4",48853081,48853421,"chr4",48852865,48853178,"AluY",0,"SetA","100pM","chr4:48852865-48853178",FALSE
"chr4",76569279,76569516,"chr4",76567369,76567656,"AluY",1624,"SetA","100pM","chr4:76567369-76567656",FALSE
"chr4",139875492,139875728,"chr4",139874800,139875101,"AluY",392,"SetA","100pM","chr4:139874800-139875101",FALSE
"chr4",168677197,168677415,"chr4",168676588,168676878,"AluY",320,"SetA","100pM","chr4:168676588-168676878",FALSE
"chr5",19734748,19735361,"chr5",19735396,19735694,"AluY",36,"SetA","100pM","chr5:19735396-19735694",FALSE
"chr5",58127074,58127302,"chr5",58128829,58129167,"AluY",1528,"SetA","100pM","chr5:58128829-58129167",FALSE
"chr5",59380387,59380715,"chr5",59377135,59377433,"AluY",2955,"SetA","100pM","chr5:59377135-59377433",FALSE
"chr5",119564813,119565037,"chr5",119568244,119568551,"AluY",3208,"SetA","100pM","chr5:119568244-119568551",FALSE
"chr5",160287651,160287842,"chr5",160288589,160288855,"AluY",748,"SetA","100pM","chr5:160288589-160288855",FALSE
"chr6",11067363,11067754,"chr6",11069433,11069743,"AluY",1680,"SetA","100pM","chr6:11069433-11069743",FALSE
"chr6",13747678,13747864,"chr6",13747490,13747747,"AluY",0,"SetA","100pM","chr6:13747490-13747747",FALSE
"chr6",74969334,74970282,"chr6",74977934,74978230,"AluY",7653,"SetA","100pM","chr6:74977934-74978230",FALSE
"chr6",74971639,74971941,"chr6",74977934,74978230,"AluY",5994,"SetA","100pM","chr6:74977934-74978230",FALSE
"chr6",121187783,121188095,"chr6",121198469,121198775,"AluY",10375,"SetA","100pM","chr6:121198469-121198775",FALSE
"chr6",125205119,125205429,"chr6",125204476,125204778,"AluY",342,"SetA","100pM","chr6:125204476-125204778",FALSE
"chr6",134529918,134530243,"chr6",134530387,134530687,"AluY",145,"SetA","100pM","chr6:134530387-134530687",FALSE
"chr6",139512570,139512813,"chr6",139511688,139511976,"AluY",595,"SetA","100pM","chr6:139511688-139511976",FALSE
"chr6",139588094,139588604,"chr6",139587262,139587574,"AluY",521,"SetA","100pM","chr6:139587262-139587574",FALSE
"chr7",10663383,10663594,"chr7",10664600,10664898,"AluY",1007,"SetA","100pM","chr7:10664600-10664898",FALSE
"chr7",33832891,33833204,"chr7",33833365,33833681,"AluY",162,"SetA","100pM","chr7:33833365-33833681",FALSE
"chr7",35025266,35025583,"chr7",35023823,35024135,"AluY",1132,"SetA","100pM","chr7:35023823-35024135",FALSE
"chr7",47406052,47406250,"chr7",47404604,47404913,"AluY",1140,"SetA","100pM","chr7:47404604-47404913",FALSE
"chr7",47477560,47477746,"chr7",47483171,47483468,"AluY",5426,"SetA","100pM","chr7:47483171-47483468",FALSE
"chr7",142356156,142356357,"chr7",142357248,142357538,"AluY",892,"SetA","100pM","chr7:142357248-142357538",FALSE
"chr7",151856593,151856883,"chr7",151853488,151853778,"AluY",2816,"SetA","100pM","chr7:151853488-151853778",FALSE
"chr8",1261000,1261498,"chr8",1266950,1267231,"AluY",5453,"SetA","100pM","chr8:1266950-1267231",FALSE
"chr8",115998243,115998597,"chr8",115994034,115994347,"AluY",3897,"SetA","100pM","chr8:115994034-115994347",FALSE
"chr8",127953099,127953437,"chr8",127952770,127953063,"AluY",37,"SetA","100pM","chr8:127952770-127953063",FALSE
"chr9",115326492,115326749,"chr9",115324427,115324735,"AluY",1758,"SetA","100pM","chr9:115324427-115324735",FALSE
"chr9",129488725,129488951,"chr9",129489329,129489625,"AluY",379,"SetA","100pM","chr9:129489329-129489625",FALSE
"chrX",7218540,7218739,"chrX",7220543,7220847,"AluY",1805,"SetA","100pM","chrX:7220543-7220847",FALSE
"chrX",7219139,7219404,"chrX",7220543,7220847,"AluY",1140,"SetA","100pM","chrX:7220543-7220847",FALSE
"chrX",54696258,54696579,"chrX",54702557,54702849,"AluY",5979,"SetA","100pM","chrX:54702557-54702849",FALSE
"chrX",54747709,54747999,"chrX",54743835,54744135,"AluY",3575,"SetA","100pM","chrX:54743835-54744135",FALSE
"chr1",42992408,42992727,"chr1",42992969,42993270,"AluY",243,"SetB","100pM","chr1:42992969-42993270",FALSE
"chr1",177448787,177449083,"chr1",177449964,177450277,"AluY",882,"SetB","100pM","chr1:177449964-177450277",FALSE
"chr1",206847578,206847852,"chr1",206848499,206848813,"AluY",648,"SetB","100pM","chr1:206848499-206848813",FALSE
"chr10",29124903,29125331,"chr10",29125288,29125586,"AluY",0,"SetB","100pM","chr10:29125288-29125586",FALSE
"chr10",102710669,102711018,"chr10",102711469,102711782,"AluY",452,"SetB","100pM","chr10:102711469-102711782",FALSE
"chr10",104480897,104481116,"chr10",104478926,104479226,"AluY",1672,"SetB","100pM","chr10:104478926-104479226",FALSE
"chr10",113678566,113679106,"chr10",113677808,113678119,"AluY",448,"SetB","100pM","chr10:113677808-113678119",FALSE
"chr10",126175939,126176185,"chr10",126174757,126175055,"AluY",885,"SetB","100pM","chr10:126174757-126175055",FALSE
"chr10",128541274,128541546,"chr10",128534032,128534328,"AluY",6947,"SetB","100pM","chr10:128534032-128534328",FALSE
"chr11",60757268,60757496,"chr11",60755234,60755532,"AluY",1737,"SetB","100pM","chr11:60755234-60755532",FALSE
"chr11",78268284,78268550,"chr11",78267576,78267881,"AluY",404,"SetB","100pM","chr11:78267576-78267881",FALSE
"chr11",79059848,79060546,"chr11",79058261,79058565,"AluY",1284,"SetB","100pM","chr11:79058261-79058565",FALSE
"chr11",101299190,101299893,"chr11",101302394,101302690,"AluY",2502,"SetB","100pM","chr11:101302394-101302690",FALSE
"chr11",101441743,101442115,"chr11",101431407,101431723,"AluY",10021,"SetB","100pM","chr11:101431407-101431723",FALSE
"chr11",101443739,101443998,"chr11",101431407,101431723,"AluY",12017,"SetB","100pM","chr11:101431407-101431723",FALSE
"chr11",117185212,117185449,"chr11",117185037,117185347,"AluY",0,"SetB","100pM","chr11:117185037-117185347",FALSE
"chr11",131897303,131897609,"chr11",131896679,131896987,"AluY",317,"SetB","100pM","chr11:131896679-131896987",FALSE
"chr11",131900374,131900567,"chr11",131896679,131896987,"AluY",3388,"SetB","100pM","chr11:131896679-131896987",FALSE
"chr12",6363947,6364213,"chr12",6364473,6364776,"AluY",261,"SetB","100pM","chr12:6364473-6364776",FALSE
"chr12",23235456,23235740,"chr12",23231999,23232294,"AluY",3163,"SetB","100pM","chr12:23231999-23232294",FALSE
"chr13",32068354,32068549,"chr13",32068908,32069214,"AluY",360,"SetB","100pM","chr13:32068908-32069214",FALSE
"chr13",46143262,46143472,"chr13",46143787,46144100,"AluY",316,"SetB","100pM","chr13:46143787-46144100",FALSE
"chr14",91418102,91418453,"chr14",91419944,91420221,"AluY",1492,"SetB","100pM","chr14:91419944-91420221",FALSE
"chr14",99964964,99965421,"chr14",99963956,99964276,"AluY",689,"SetB","100pM","chr14:99963956-99964276",FALSE
"chr14",105032374,105032598,"chr14",105031965,105032272,"AluY",103,"SetB","100pM","chr14:105031965-105032272",FALSE
"chr15",95895616,95895914,"chr15",95896419,95896724,"AluY",506,"SetB","100pM","chr15:95896419-95896724",FALSE
"chr16",3166515,3166962,"chr16",3167517,3167828,"AluY",556,"SetB","100pM","chr16:3167517-3167828",FALSE
"chr17",57085681,57085891,"chr17",57083944,57084247,"AluY",1435,"SetB","100pM","chr17:57083944-57084247",FALSE
"chr17",57375796,57376110,"chr17",57376922,57377219,"AluY",813,"SetB","100pM","chr17:57376922-57377219",TRUE
"chr17",72617994,72618288,"chr17",72618975,72619278,"AluY",688,"SetB","100pM","chr17:72618975-72619278",FALSE
"chr17",82103782,82104202,"chr17",82104530,82104837,"AluY",329,"SetB","100pM","chr17:82104530-82104837",FALSE
"chr18",77054764,77055010,"chr18",77057824,77058117,"AluY",2815,"SetB","100pM","chr18:77057824-77058117",FALSE
"chr19",1181596,1182175,"chr19",1181113,1181394,"AluY",203,"SetB","100pM","chr19:1181113-1181394",FALSE
"chr19",16463919,16464260,"chr19",16464805,16465094,"AluY",546,"SetB","100pM","chr19:16464805-16465094",FALSE
"chr2",10021771,10022006,"chr2",10021265,10021553,"AluY",219,"SetB","100pM","chr2:10021265-10021553",FALSE
"chr2",42342516,42342822,"chr2",42344570,42344863,"AluY",1749,"SetB","100pM","chr2:42344570-42344863",FALSE
"chr2",45820733,45820919,"chr2",45817411,45817710,"AluY",3024,"SetB","100pM","chr2:45817411-45817710",FALSE
"chr2",138435740,138436038,"chr2",138437008,138437309,"AluY",971,"SetB","100pM","chr2:138437008-138437309",FALSE
"chr2",217092642,217092905,"chr2",217088713,217089019,"AluY",3624,"SetB","100pM","chr2:217088713-217089019",FALSE
"chr2",224331788,224332149,"chr2",224332017,224332330,"AluY",0,"SetB","100pM","chr2:224332017-224332330",FALSE
"chr20",34350219,34350474,"chr20",34350510,34350818,"AluY",37,"SetB","100pM","chr20:34350510-34350818",FALSE
"chr20",50284784,50285056,"chr20",50287209,50287511,"AluY",2154,"SetB","100pM","chr20:50287209-50287511",FALSE
"chr21",15199985,15200279,"chr21",15202156,15202452,"AluY",1878,"SetB","100pM","chr21:15202156-15202452",FALSE
"chr21",15203710,15204047,"chr21",15202156,15202452,"AluY",1259,"SetB","100pM","chr21:15202156-15202452",FALSE
"chr21",15204308,15204539,"chr21",15202156,15202452,"AluY",1857,"SetB","100pM","chr21:15202156-15202452",FALSE
"chr21",31529438,31529723,"chr21",31528920,31529218,"AluY",221,"SetB","100pM","chr21:31528920-31529218",FALSE
"chr21",39524000,39524271,"chr21",39524885,39525183,"AluY",615,"SetB","100pM","chr21:39524885-39525183",FALSE
"chr22",24532053,24532531,"chr22",24531758,24532071,"AluY",0,"SetB","100pM","chr22:24531758-24532071",FALSE
"chr22",25400866,25401068,"chr22",25400262,25400562,"AluY",305,"SetB","100pM","chr22:25400262-25400562",FALSE
"chr22",46465836,46466066,"chr22",46467541,46467840,"AluY",1476,"SetB","100pM","chr22:46467541-46467840",FALSE
"chr3",189772972,189773228,"chr3",189773915,189774221,"AluY",688,"SetB","100pM","chr3:189773915-189774221",FALSE
"chr4",997869,998083,"chr4",998963,999231,"AluY",881,"SetB","100pM","chr4:998963-999231",FALSE
"chr4",139875492,139875728,"chr4",139874800,139875101,"AluY",392,"SetB","100pM","chr4:139874800-139875101",FALSE
"chr4",168677197,168677415,"chr4",168676588,168676878,"AluY",320,"SetB","100pM","chr4:168676588-168676878",FALSE
"chr5",19734748,19735361,"chr5",19735396,19735694,"AluY",36,"SetB","100pM","chr5:19735396-19735694",FALSE
"chr5",58127074,58127302,"chr5",58128829,58129167,"AluY",1528,"SetB","100pM","chr5:58128829-58129167",FALSE
"chr5",119564813,119565037,"chr5",119568244,119568551,"AluY",3208,"SetB","100pM","chr5:119568244-119568551",FALSE
"chr6",11067363,11067754,"chr6",11069433,11069743,"AluY",1680,"SetB","100pM","chr6:11069433-11069743",FALSE
"chr6",13747678,13747864,"chr6",13747490,13747747,"AluY",0,"SetB","100pM","chr6:13747490-13747747",FALSE
"chr6",74969334,74970282,"chr6",74977934,74978230,"AluY",7653,"SetB","100pM","chr6:74977934-74978230",FALSE
"chr6",74971639,74971941,"chr6",74977934,74978230,"AluY",5994,"SetB","100pM","chr6:74977934-74978230",FALSE
"chr6",125205119,125205429,"chr6",125204476,125204778,"AluY",342,"SetB","100pM","chr6:125204476-125204778",FALSE
"chr6",139588094,139588604,"chr6",139587262,139587574,"AluY",521,"SetB","100pM","chr6:139587262-139587574",FALSE
"chr7",33832891,33833204,"chr7",33833365,33833681,"AluY",162,"SetB","100pM","chr7:33833365-33833681",FALSE
"chr7",35025266,35025583,"chr7",35023823,35024135,"AluY",1132,"SetB","100pM","chr7:35023823-35024135",FALSE
"chr7",47406052,47406250,"chr7",47404604,47404913,"AluY",1140,"SetB","100pM","chr7:47404604-47404913",FALSE
"chr7",151856593,151856883,"chr7",151853488,151853778,"AluY",2816,"SetB","100pM","chr7:151853488-151853778",FALSE
"chr8",115998243,115998597,"chr8",115994034,115994347,"AluY",3897,"SetB","100pM","chr8:115994034-115994347",FALSE
"chr8",127953099,127953437,"chr8",127952770,127953063,"AluY",37,"SetB","100pM","chr8:127952770-127953063",FALSE
"chr9",129488725,129488951,"chr9",129489329,129489625,"AluY",379,"SetB","100pM","chr9:129489329-129489625",FALSE
"chrX",7219139,7219404,"chrX",7220543,7220847,"AluY",1140,"SetB","100pM","chrX:7220543-7220847",FALSE
"chrX",54696258,54696579,"chrX",54702557,54702849,"AluY",5979,"SetB","100pM","chrX:54702557-54702849",FALSE
"chrX",54747709,54747999,"chrX",54743835,54744135,"AluY",3575,"SetB","100pM","chrX:54743835-54744135",FALSE
"chr1",3338327,3338598,"chr1",3343621,3343940,"AluY",5024,"SetA","1nM","chr1:3343621-3343940",FALSE
"chr1",25568239,25568426,"chr1",25570577,25570878,"AluY",2152,"SetA","1nM","chr1:25570577-25570878",FALSE
"chr1",36204173,36204414,"chr1",36204933,36205230,"AluY",520,"SetA","1nM","chr1:36204933-36205230",FALSE
"chr1",39142863,39143169,"chr1",39143762,39144080,"AluY",594,"SetA","1nM","chr1:39143762-39144080",FALSE
"chr1",42992395,42992755,"chr1",42992969,42993270,"AluY",215,"SetA","1nM","chr1:42992969-42993270",FALSE
"chr1",42993651,42993854,"chr1",42992969,42993270,"AluY",382,"SetA","1nM","chr1:42992969-42993270",FALSE
"chr1",51558726,51558928,"chr1",51558014,51558295,"AluY",432,"SetA","1nM","chr1:51558014-51558295",FALSE
"chr1",71461542,71461768,"chr1",71457693,71458001,"AluY",3542,"SetA","1nM","chr1:71457693-71458001",FALSE
"chr1",79361272,79361541,"chr1",79360644,79360958,"AluY",315,"SetA","1nM","chr1:79360644-79360958",FALSE
"chr1",116858983,116859242,"chr1",116859463,116859763,"AluY",222,"SetA","1nM","chr1:116859463-116859763",FALSE
"chr1",147669743,147670037,"chr1",147671121,147671433,"AluY",1085,"SetA","1nM","chr1:147671121-147671433",FALSE
"chr1",171257451,171257746,"chr1",171255991,171256294,"AluY",1158,"SetA","1nM","chr1:171255991-171256294",FALSE
"chr1",177448719,177449099,"chr1",177449964,177450277,"AluY",866,"SetA","1nM","chr1:177449964-177450277",FALSE
"chr1",177620683,177620959,"chr1",177625199,177625505,"AluY",4241,"SetA","1nM","chr1:177625199-177625505",FALSE
"chr1",203059391,203059667,"chr1",203062195,203062506,"AluY",2529,"SetA","1nM","chr1:203062195-203062506",FALSE
"chr1",206847542,206847915,"chr1",206848499,206848813,"AluY",585,"SetA","1nM","chr1:206848499-206848813",FALSE
"chr1",207241616,207241810,"chr1",207242524,207242823,"AluY",715,"SetA","1nM","chr1:207242524-207242823",FALSE
"chr1",246219307,246219776,"chr1",246218341,246218634,"AluY",674,"SetA","1nM","chr1:246218341-246218634",FALSE
"chr10",6154798,6155069,"chr10",6155197,6155503,"AluY",129,"SetA","1nM","chr10:6155197-6155503",FALSE
"chr10",29124873,29125350,"chr10",29125288,29125586,"AluY",0,"SetA","1nM","chr10:29125288-29125586",FALSE
"chr10",29622497,29622754,"chr10",29621968,29622278,"AluY",220,"SetA","1nM","chr10:29621968-29622278",FALSE
"chr10",43038046,43038311,"chr10",43031637,43031950,"AluY",6097,"SetA","1nM","chr10:43031637-43031950",FALSE
"chr10",72272640,72272922,"chr10",72271776,72272086,"AluY",555,"SetA","1nM","chr10:72271776-72272086",FALSE
"chr10",88385586,88385890,"chr10",88380395,88380683,"AluY",4904,"SetA","1nM","chr10:88380395-88380683",FALSE
"chr10",98363179,98363394,"chr10",98362679,98362985,"AluY",195,"SetA","1nM","chr10:98362679-98362985",FALSE
"chr10",98363856,98364082,"chr10",98362679,98362985,"AluY",872,"SetA","1nM","chr10:98362679-98362985",FALSE
"chr10",102710701,102711029,"chr10",102711469,102711782,"AluY",441,"SetA","1nM","chr10:102711469-102711782",FALSE
"chr10",104480877,104481122,"chr10",104478926,104479226,"AluY",1652,"SetA","1nM","chr10:104478926-104479226",FALSE
"chr10",113678541,113679118,"chr10",113677808,113678119,"AluY",423,"SetA","1nM","chr10:113677808-113678119",FALSE
"chr10",121553902,121554086,"chr10",121554333,121554669,"AluY",248,"SetA","1nM","chr10:121554333-121554669",FALSE
"chr10",126175889,126176223,"chr10",126174757,126175055,"AluY",835,"SetA","1nM","chr10:126174757-126175055",FALSE
"chr10",128540923,128541562,"chr10",128534032,128534328,"AluY",6596,"SetA","1nM","chr10:128534032-128534328",FALSE
"chr11",2165319,2165521,"chr11",2174987,2175292,"AluY",9467,"SetA","1nM","chr11:2174987-2175292",FALSE
"chr11",2169070,2169717,"chr11",2174987,2175292,"AluY",5271,"SetA","1nM","chr11:2174987-2175292",FALSE
"chr11",30527611,30527843,"chr11",30526890,30527229,"AluY",383,"SetA","1nM","chr11:30526890-30527229",FALSE
