"chrom","start","end","nearest_alu_subfamily","distance","set","dose","overlaps_alu"
"chr8",128141939,128142233,"AluSp",1800,"SetA_ER_H3K27ac","10pM",FALSE
"chr9",92988547,92988769,"AluSc8",272,"SetA_ER_H3K27ac","10pM",FALSE
"chrX",16662366,16662709,"AluJo",438,"SetA_ER_H3K27ac","10pM",FALSE
"chrX",140492316,140492591,"AluSg",427,"SetA_ER_H3K27ac","10pM",FALSE
"chr1",1073681,1073992,"AluSx1",2119,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",6959496,6959887,"AluSx1",6636,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",6960500,6960815,"AluSx",5797,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",7447823,7448146,"AluSz",1343,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",8198042,8198259,"AluSz",107,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",12485491,12485922,"AluSx3",1406,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",12486368,12486732,"AluSx3",596,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",15015804,15016248,"AluSq2",42,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",15025569,15025853,"AluSz",0,"SetA_ER_H3K27ac","100pM",TRUE
"chr1",16608337,16608848,"AluJo",101,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",16614389,16614585,"AluJb",737,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",17520505,17520840,"AluSp",371,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",17529531,17529724,"AluSq",101,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",18365914,18366222,"AluSx1",1374,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",19425850,19426050,"AluJo",1740,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",19596712,19596907,"FLAM_A",684,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",20357309,20357585,"AluJr",5487,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",21639182,21639368,"AluSz",698,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",22469549,22469760,"AluSz",0,"SetA_ER_H3K27ac","100pM",TRUE
"chr1",22472570,22472951,"AluJb",86,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",23957177,23957396,"AluJb",286,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",24001327,24001620,"AluSx",0,"SetA_ER_H3K27ac","100pM",TRUE
"chr1",24018888,24019114,"AluSx1",222,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",24567986,24568423,"FLAM_A",366,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",24570458,24570762,"AluJb",0,"SetA_ER_H3K27ac","100pM",TRUE
"chr1",30302820,30303518,"AluJo",22169,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",30345509,30345956,"AluSz",17,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",31186682,31186876,"AluJo",224,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",31368808,31369184,"AluSx",642,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",31830415,31830623,"AluSg",1441,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",31830746,31831071,"AluSg",1772,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",31842915,31843238,"AluYd8",612,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",31880177,31880453,"AluSg",77,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",37793330,37793632,"AluSx1",1198,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",38421697,38421928,"AluJr4",1557,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",40095029,40095232,"AluJr4",990,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",40141069,40141303,"AluSx1",363,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",41789713,41790145,"AluJo",1880,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",41860205,41860513,"AluSc8",4165,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",41866307,41866590,"AluSc8",10267,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",41868211,41868524,"AluJo",11540,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",42992408,42992727,"AluY",243,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",43830851,43831145,"AluJb",516,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",45304711,45304967,"AluJb",1244,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",45516839,45517141,"AluSq2",0,"SetA_ER_H3K27ac","100pM",TRUE
"chr1",51321415,51321751,"AluSz",243,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",51541887,51542085,"AluJb",0,"SetA_ER_H3K27ac","100pM",TRUE
"chr1",51567594,51568036,"AluSx1",506,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",64983220,64983492,"AluSq",2618,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",70915381,70915638,"AluSg",4288,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",71448647,71449002,"AluSz",36,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",71461536,71461747,"AluY",3536,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",74652416,74652892,"FLAM_C",9979,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",74690170,74690385,"AluJo",665,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",74703427,74703706,"AluSx",2510,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",76944177,76944436,"AluJo",3018,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",85822762,85823011,"AluSx",2616,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",87715094,87715337,"AluSz",1326,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",107756417,107756687,"AluJo",1602,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",108199222,108199511,"AluSx3",2173,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",109115714,109115910,"AluJo",137,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",110746418,110746836,"AluSx3",235,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",113976671,113976901,"AluJb",6751,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",114034116,114034362,"AluSx",5130,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",115665492,115665732,"AluSc5",2413,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",145708190,145708589,"AluJb",9,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",147669350,147669543,"AluSc",1352,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",150981812,150982046,"AluSc8",935,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",151008037,151008300,"AluSc",511,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",152743192,152743429,"AluSp",5653,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",156616569,156616758,"AluJb",47,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",162159452,162159808,"AluJb",1789,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",162165654,162166154,"AluSp",322,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",165163058,165163257,"AluSz",2669,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",169517692,169517951,"AluJo",3023,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",169529402,169529671,"AluJr",4070,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",177440911,177441225,"AluSx1",2712,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",177448787,177449083,"AluY",882,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",180228560,180228795,"AluSg",1709,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",183023877,183024182,"AluSz",2794,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",184482955,184483374,"AluSx1",564,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",184626711,184626957,"AluSx1",8504,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",188893558,188893811,"AluSp",4026,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",197485899,197486152,"AluSc",138,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",200016796,200017202,"AluSz",81,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",202108291,202108509,"AluSc",1791,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",202112892,202113122,"AluSx",211,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",202335280,202335753,"AluSx",166,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",203089315,203089792,"AluSg7",1206,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",204380599,204380847,"FRAM",372,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",206843673,206844040,"AluJr",0,"SetA_ER_H3K27ac","100pM",TRUE
"chr1",206847578,206847852,"AluY",648,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",206901277,206901525,"AluSx1",3092,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",206903622,206904056,"AluSx1",5437,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",207950873,207951232,"AluJb",2662,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",209546443,209546675,"AluJo",442,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",215425198,215425505,"AluSx",3528,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",215482087,215482533,"FLAM_A",7037,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",215540271,215540505,"AluSg",11272,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",223444587,223444775,"AluJo",4608,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",230057950,230058142,"AluSx",3879,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",232193098,232193291,"AluJo",6311,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",233715041,233715269,"AluJr",1515,"SetA_ER_H3K27ac","100pM",FALSE
"chr1",234963265,234963474,"FLAM_C",2417,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",126934,127293,"AluSz",518,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",3482792,3483069,"AluJb",10,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",4128004,4128334,"AluSx1",519,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",4279780,4280007,"AluSz",4946,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",5660289,5660558,"AluJb",929,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",6296757,6297000,"AluSq2",1233,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",6297797,6298260,"AluJr",113,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",8128342,8128857,"AluJo",142,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",8726030,8726347,"AluJb",2691,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",8752535,8752757,"FLAM_A",1570,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",9038268,9038462,"AluJb",7690,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",9178775,9178966,"AluSc",1324,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",9187057,9187372,"AluSx",1935,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",9188115,9188909,"AluJo",1046,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",12872688,12872953,"AluSx1",0,"SetA_ER_H3K27ac","100pM",TRUE
"chr10",12873364,12873602,"AluSq2",62,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",12881896,12882086,"AluJo",267,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",14407626,14407889,"AluSx1",713,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",17445657,17446022,"AluSq2",759,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",19177843,19178082,"AluSx1",550,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",19228398,19228587,"AluSx1",3627,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",19232433,19232716,"AluSx1",0,"SetA_ER_H3K27ac","100pM",TRUE
"chr10",22583740,22584140,"AluSz6",1470,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",22633062,22633303,"AluJr",2823,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",26982211,26982409,"AluYm1",2969,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",28496002,28496355,"FLAM_C",13,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",28496462,28496765,"FLAM_C",0,"SetA_ER_H3K27ac","100pM",TRUE
"chr10",28925448,28925802,"AluSx1",208,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",28949734,28949937,"AluJo",1824,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",29107997,29108183,"AluSc",900,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",29124903,29125331,"AluY",0,"SetA_ER_H3K27ac","100pM",TRUE
"chr10",29630289,29630652,"AluJr",301,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",29812181,29812671,"AluSq2",15,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",34427431,34427727,"FLAM_A",643,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",43026432,43026740,"AluSx",4674,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",44173312,44173898,"AluJr",1443,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",44236881,44237151,"AluSx1",488,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",44642111,44642379,"AluJr",256,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",46048118,46048412,"AluJr4",212,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",48287985,48288255,"AluJr",3714,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",59323196,59323542,"AluSx1",5836,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",60848276,60848507,"FLAM_C",2183,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",60848683,60848985,"FLAM_C",2590,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",61409896,61410152,"AluJb",863,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",61669856,61670123,"AluY",922,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",63630603,63631285,"AluJr",282,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",63712118,63712436,"AluSz",1767,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",69439408,69439594,"AluSx1",92,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",74743411,74743613,"FLAM_C",242,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",74821684,74821939,"AluJb",366,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",77410078,77410400,"AluSx",594,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",79128553,79128917,"AluSq",5918,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",79158513,79158781,"AluJb",5987,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",79162829,79163142,"AluJb",10303,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",80966678,80966928,"AluJb",2564,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",87008486,87008672,"AluSx3",232,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",90713174,90713410,"AluSz6",1040,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",90917726,90918032,"AluJo",3806,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",91360913,91361251,"AluSz6",3848,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",93435055,93435514,"AluJb",165,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",93440624,93440932,"AluSc",204,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",97571653,97571927,"AluSx",1508,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",100883315,100883698,"AluSc",1040,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",102710669,102711018,"AluY",452,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",103890166,103890456,"AluSz",163,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",103931320,103931951,"AluJr4",86,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",104480897,104481116,"AluY",1672,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",110789870,110790137,"AluJb",210,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",113678566,113679106,"AluY",448,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",113921897,113922337,"AluSx1",1563,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",113927330,113927741,"AluSx3",490,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",114239172,114239585,"AluSx",1201,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",114349654,114350005,"FLAM_A",84,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",115664713,115665093,"AluJo",2560,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",121500740,121501005,"AluSz6",3581,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",121501697,121501916,"AluSx1",4160,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",121510262,121510487,"AluSx",332,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",123721905,123722250,"FLAM_C",1512,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",123744020,123744260,"AluSx",700,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",124893438,124893667,"AluSz",3,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",125624792,125625160,"AluSg",4939,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",125625906,125626177,"AluSg",6053,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",125634231,125634511,"AluSz",1096,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",125695064,125695314,"AluSz6",1763,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",126175939,126176185,"AluY",885,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",126918328,126918849,"AluSx",2066,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",126935620,126935898,"AluJr",87,"SetA_ER_H3K27ac","100pM",FALSE
"chr10",128541274,128541546,"AluY",6947,"SetA_ER_H3K27ac","100pM",FALSE
"chr11",470094,470314,"AluSg",265,"SetA_ER_H3K27ac","100pM",FALSE
"chr11",1796405,1796932,"AluSx",124,"SetA_ER_H3K27ac","100pM",FALSE
"chr11",1828644,1828870,"AluSz",11609,"SetA_ER_H3K27ac","100pM",FALSE
"chr11",1830913,1831148,"AluSz",13878,"SetA_ER_H3K27ac","100pM",FALSE
"chr11",2169099,2169395,"AluY",5593,"SetA_ER_H3K27ac","100pM",FALSE
"chr11",2190910,2191096,"AluJo",376,"SetA_ER_H3K27ac","100pM",FALSE
"chr11",2193280,2193665,"AluSc5",108,"SetA_ER_H3K27ac","100pM",FALSE
"chr11",10742858,10743127,"AluSx",1001,"SetA_ER_H3K27ac","100pM",FALSE
"chr11",15615482,15615792,"AluSx",16519,"SetA_ER_H3K27ac","100pM",FALSE
"chr11",17405780,17406050,"AluSx1",717,"SetA_ER_H3K27ac","100pM",FALSE
"chr11",20031893,20032161,"AluSx",2207,"SetA_ER_H3K27ac","100pM",FALSE
"chr11",30521666,30522014,"AluSp",1608,"SetA_ER_H3K27ac","100pM",FALSE
"chr11",34633689,34633917,"AluSq2",1531,"SetA_ER_H3K27ac","100pM",FALSE
"chr11",35389964,35390174,"AluJo",54,"SetA_ER_H3K27ac","100pM",FALSE
"chr11",60757268,60757496,"AluY",1737,"SetA_ER_H3K27ac","100pM",FALSE
"chr11",65379975,65380161,"AluJb",976,"SetA_ER_H3K27ac","100pM",FALSE
"chr11",65418713,65418943,"AluSz",718,"SetA_ER_H3K27ac","100pM",FALSE
"chr11",67027754,67028160,"AluSz",227,"SetA_ER_H3K27ac","100pM",FALSE
"chr11",68216588,68216825,"AluSx",192,"SetA_ER_H3K27ac","100pM",FALSE
"chr11",69515314,69515615,"AluSz",692,"SetA_ER_H3K27ac","100pM",FALSE
"chr11",69891444,69892160,"AluSp",3591,"SetA_ER_H3K27ac","100pM",FALSE
"chr11",69893095,69893358,"AluSp",2393,"SetA_ER_H3K27ac","100pM",FALSE
"chr11",69894488,69894742,"AluSp",1009,"SetA_ER_H3K27ac","100pM",FALSE
"chr11",69914755,69914963,"AluSz6",1486,"SetA_ER_H3K27ac","100pM",FALSE
"chr11",70106215,70106691,"AluSc8",3490,"SetA_ER_H3K27ac","100pM",FALSE
"chr11",70760322,70760616,"AluSx1",817,"SetA_ER_H3K27ac","100pM",FALSE
"chr11",70805869,70806178,"AluSx1",1369,"SetA_ER_H3K27ac","100pM",FALSE
"chr11",71481422,71481755,"AluSq2",951,"SetA_ER_H3K27ac","100pM",FALSE
"chr11",72786429,72786789,"AluJr",0,"SetA_ER_H3K27ac","100pM",TRUE
"chr11",73192419,73192619,"AluSx1",132,"SetA_ER_H3K27ac","100pM",FALSE
"chr11",73193918,73194209,"AluSx1",1631,"SetA_ER_H3K27ac","100pM",FALSE
"chr11",73194587,73194905,"AluSz",1952,"SetA_ER_H3K27ac","100pM",FALSE
"chr11",73227825,73228428,"AluSz6",2836,"SetA_ER_H3K27ac","100pM",FALSE
"chr11",75333845,75334059,"AluSg",0,"SetA_ER_H3K27ac","100pM",TRUE
"chr11",76772557,76772997,"AluJb",1868,"SetA_ER_H3K27ac","100pM",FALSE
"chr11",76921498,76921878,"AluJr",563,"SetA_ER_H3K27ac","100pM",FALSE
"chr11",78145782,78145976,"AluYb8",0,"SetA_ER_H3K27ac","100pM",TRUE
